"Step","dflex_hopper_4 - train_return","dflex_hopper_4 - train_return__MIN","dflex_hopper_4 - train_return__MAX","dflex_hopper_3 - train_return","dflex_hopper_3 - train_return__MIN","dflex_hopper_3 - train_return__MAX","dflex_hopper_2 - train_return","dflex_hopper_2 - train_return__MIN","dflex_hopper_2 - train_return__MAX","dflex_hopper_1 - train_return","dflex_hopper_1 - train_return__MIN","dflex_hopper_1 - train_return__MAX","dflex_hopper_0 - train_return","dflex_hopper_0 - train_return__MIN","dflex_hopper_0 - train_return__MAX"
"0","13.735755920410156","13.735755920410156","13.735755920410156","-37.571571350097656","-37.571571350097656","-37.571571350097656","-32.65187454223633","-32.65187454223633","-32.65187454223633","0.829106330871582","0.829106330871582","0.829106330871582","-3.596245288848877","-3.596245288848877","-3.596245288848877"
"8584","","","","-40.25692367553711","-40.25692367553711","-40.25692367553711","","","","","","","","",""
"8712","","","","-41.79640579223633","-41.79640579223633","-41.79640579223633","","","","","","","","",""
"8840","","","","-42.86615753173828","-42.86615753173828","-42.86615753173828","","","","","","","","",""
"8968","","","","-43.67472839355469","-43.67472839355469","-43.67472839355469","","","","","","","","",""
"9096","","","","-48.44296646118164","-48.44296646118164","-48.44296646118164","","","","","","","","",""
"9224","","","","-50.729881286621094","-50.729881286621094","-50.729881286621094","","","","","","","-2.2303194999694824","-2.2303194999694824","-2.2303194999694824"
"9352","","","","-54.79996109008789","-54.79996109008789","-54.79996109008789","","","","","","","","",""
"9480","","","","-56.109439849853516","-56.109439849853516","-56.109439849853516","","","","","","","","",""
"9608","","","","-60.419647216796875","-60.419647216796875","-60.419647216796875","","","","","","","","",""
"9736","","","","-62.87216567993164","-62.87216567993164","-62.87216567993164","","","","","","","","",""
"9864","","","","","","","-32.67099380493164","-32.67099380493164","-32.67099380493164","","","","","",""
"10248","","","","","","","","","","","","","-0.8158243894577026","-0.8158243894577026","-0.8158243894577026"
"10376","","","","","","","-32.951393127441406","-32.951393127441406","-32.951393127441406","","","","","",""
"10504","","","","","","","-34.06578826904297","-34.06578826904297","-34.06578826904297","","","","","",""
"10760","","","","","","","-34.28453063964844","-34.28453063964844","-34.28453063964844","","","","","",""
"11016","","","","","","","-35.67558288574219","-35.67558288574219","-35.67558288574219","","","","0.5682435035705566","0.5682435035705566","0.5682435035705566"
"11144","","","","","","","-36.21483612060547","-36.21483612060547","-36.21483612060547","","","","","",""
"11272","","","","","","","-38.2933235168457","-38.2933235168457","-38.2933235168457","","","","3.2686002254486084","3.2686002254486084","3.2686002254486084"
"11400","","","","","","","-38.7276496887207","-38.7276496887207","-38.7276496887207","","","","4.887210369110107","4.887210369110107","4.887210369110107"
"11528","","","","","","","","","","","","","8.838530540466309","8.838530540466309","8.838530540466309"
"11656","","","","","","","-38.8336181640625","-38.8336181640625","-38.8336181640625","0.9074434638023376","0.9074434638023376","0.9074434638023376","9.353877067565918","9.353877067565918","9.353877067565918"
"11784","","","","","","","-40.576332092285156","-40.576332092285156","-40.576332092285156","","","","10.597212791442871","10.597212791442871","10.597212791442871"
"11912","","","","","","","","","","1.4791368246078491","1.4791368246078491","1.4791368246078491","11.127144813537598","11.127144813537598","11.127144813537598"
"12040","","","","","","","","","","1.7245714664459229","1.7245714664459229","1.7245714664459229","12.623907089233398","12.623907089233398","12.623907089233398"
"12168","","","","","","","","","","1.4781262874603271","1.4781262874603271","1.4781262874603271","12.591008186340332","12.591008186340332","12.591008186340332"
"12296","12.848653793334961","12.848653793334961","12.848653793334961","","","","-40.98117446899414","-40.98117446899414","-40.98117446899414","","","","15.304460525512695","15.304460525512695","15.304460525512695"
"12424","","","","","","","","","","","","","18.0073299407959","18.0073299407959","18.0073299407959"
"12552","","","","","","","","","","1.723188877105713","1.723188877105713","1.723188877105713","19.99563217163086","19.99563217163086","19.99563217163086"
"12680","","","","","","","-41.838462829589844","-41.838462829589844","-41.838462829589844","1.4764682054519653","1.4764682054519653","1.4764682054519653","22.876150131225586","22.876150131225586","22.876150131225586"
"12808","","","","","","","-42.62664794921875","-42.62664794921875","-42.62664794921875","1.488728642463684","1.488728642463684","1.488728642463684","24.358901977539062","24.358901977539062","24.358901977539062"
"12936","","","","-67.79569244384766","-67.79569244384766","-67.79569244384766","-43.43746566772461","-43.43746566772461","-43.43746566772461","1.8622411489486694","1.8622411489486694","1.8622411489486694","26.414094924926758","26.414094924926758","26.414094924926758"
"13064","","","","","","","-44.03291702270508","-44.03291702270508","-44.03291702270508","2.1505119800567627","2.1505119800567627","2.1505119800567627","26.919254302978516","26.919254302978516","26.919254302978516"
"13192","","","","-74.47659301757812","-74.47659301757812","-74.47659301757812","-46.53035354614258","-46.53035354614258","-46.53035354614258","2.6675140857696533","2.6675140857696533","2.6675140857696533","27.99202537536621","27.99202537536621","27.99202537536621"
"13320","","","","","","","","","","3.597496271133423","3.597496271133423","3.597496271133423","30.656282424926758","30.656282424926758","30.656282424926758"
"13448","","","","","","","-49.100948333740234","-49.100948333740234","-49.100948333740234","4.6833720207214355","4.6833720207214355","4.6833720207214355","31.265064239501953","31.265064239501953","31.265064239501953"
"13576","","","","-80.53683471679688","-80.53683471679688","-80.53683471679688","-49.923370361328125","-49.923370361328125","-49.923370361328125","4.683893203735352","4.683893203735352","4.683893203735352","31.814085006713867","31.814085006713867","31.814085006713867"
"13704","","","","-89.3521957397461","-89.3521957397461","-89.3521957397461","","","","6.0852532386779785","6.0852532386779785","6.0852532386779785","","",""
"13832","","","","-93.7784652709961","-93.7784652709961","-93.7784652709961","-51.35640335083008","-51.35640335083008","-51.35640335083008","6.724080562591553","6.724080562591553","6.724080562591553","","",""
"13960","","","","","","","-55.566768646240234","-55.566768646240234","-55.566768646240234","7.9986748695373535","7.9986748695373535","7.9986748695373535","32.603759765625","32.603759765625","32.603759765625"
"14088","","","","","","","-58.804874420166016","-58.804874420166016","-58.804874420166016","8.386184692382812","8.386184692382812","8.386184692382812","34.08085250854492","34.08085250854492","34.08085250854492"
"14216","","","","-95.78778076171875","-95.78778076171875","-95.78778076171875","-58.01616668701172","-58.01616668701172","-58.01616668701172","9.510337829589844","9.510337829589844","9.510337829589844","34.052284240722656","34.052284240722656","34.052284240722656"
"14344","12.111186027526855","12.111186027526855","12.111186027526855","-98.98853302001953","-98.98853302001953","-98.98853302001953","-59.92289352416992","-59.92289352416992","-59.92289352416992","10.570032119750977","10.570032119750977","10.570032119750977","","",""
"14472","","","","","","","-60.384151458740234","-60.384151458740234","-60.384151458740234","10.588787078857422","10.588787078857422","10.588787078857422","","",""
"14600","","","","-97.87529754638672","-97.87529754638672","-97.87529754638672","-59.22602081298828","-59.22602081298828","-59.22602081298828","10.901081085205078","10.901081085205078","10.901081085205078","","",""
"14728","9.418782234191895","9.418782234191895","9.418782234191895","-100.64862823486328","-100.64862823486328","-100.64862823486328","-59.0391960144043","-59.0391960144043","-59.0391960144043","","","","33.70435333251953","33.70435333251953","33.70435333251953"
"14856","","","","-99.46175384521484","-99.46175384521484","-99.46175384521484","-59.56595230102539","-59.56595230102539","-59.56595230102539","11.253938674926758","11.253938674926758","11.253938674926758","32.823360443115234","32.823360443115234","32.823360443115234"
"14984","","","","","","","-59.09598159790039","-59.09598159790039","-59.09598159790039","12.026525497436523","12.026525497436523","12.026525497436523","31.43714714050293","31.43714714050293","31.43714714050293"
"15112","10.512988090515137","10.512988090515137","10.512988090515137","-104.2795181274414","-104.2795181274414","-104.2795181274414","-58.9664421081543","-58.9664421081543","-58.9664421081543","","","","29.407978057861328","29.407978057861328","29.407978057861328"
"15240","","","","","","","-59.97908020019531","-59.97908020019531","-59.97908020019531","12.352389335632324","12.352389335632324","12.352389335632324","27.148250579833984","27.148250579833984","27.148250579833984"
"15368","11.65903091430664","11.65903091430664","11.65903091430664","","","","","","","","","","24.2589111328125","24.2589111328125","24.2589111328125"
"15496","","","","-102.46854400634766","-102.46854400634766","-102.46854400634766","-60.09880828857422","-60.09880828857422","-60.09880828857422","","","","21.68965721130371","21.68965721130371","21.68965721130371"
"15624","13.002361297607422","13.002361297607422","13.002361297607422","","","","-60.6430778503418","-60.6430778503418","-60.6430778503418","13.121025085449219","13.121025085449219","13.121025085449219","19.87236976623535","19.87236976623535","19.87236976623535"
"15752","13.52928352355957","13.52928352355957","13.52928352355957","","","","-60.25418472290039","-60.25418472290039","-60.25418472290039","","","","18.853252410888672","18.853252410888672","18.853252410888672"
"15880","","","","-101.9494400024414","-101.9494400024414","-101.9494400024414","","","","13.623920440673828","13.623920440673828","13.623920440673828","16.979110717773438","16.979110717773438","16.979110717773438"
"16008","","","","","","","","","","14.14744758605957","14.14744758605957","14.14744758605957","15.712430000305176","15.712430000305176","15.712430000305176"
"16136","14.42872428894043","14.42872428894043","14.42872428894043","","","","-60.039100646972656","-60.039100646972656","-60.039100646972656","","","","14.519387245178223","14.519387245178223","14.519387245178223"
"16264","12.617981910705566","12.617981910705566","12.617981910705566","","","","","","","","","","13.500625610351562","13.500625610351562","13.500625610351562"
"16392","15.772139549255371","15.772139549255371","15.772139549255371","-101.58914184570312","-101.58914184570312","-101.58914184570312","-59.57360076904297","-59.57360076904297","-59.57360076904297","14.730459213256836","14.730459213256836","14.730459213256836","13.114338874816895","13.114338874816895","13.114338874816895"
"16520","14.325732231140137","14.325732231140137","14.325732231140137","-104.13766479492188","-104.13766479492188","-104.13766479492188","","","","","","","12.724980354309082","12.724980354309082","12.724980354309082"
"16648","16.32210350036621","16.32210350036621","16.32210350036621","-107.16656494140625","-107.16656494140625","-107.16656494140625","","","","15.48738956451416","15.48738956451416","15.48738956451416","12.584976196289062","12.584976196289062","12.584976196289062"
"16776","18.393373489379883","18.393373489379883","18.393373489379883","-106.81462860107422","-106.81462860107422","-106.81462860107422","","","","","","","","",""
"16904","22.109127044677734","22.109127044677734","22.109127044677734","-109.12332153320312","-109.12332153320312","-109.12332153320312","","","","16.50838279724121","16.50838279724121","16.50838279724121","12.352649688720703","12.352649688720703","12.352649688720703"
"17032","24.2506103515625","24.2506103515625","24.2506103515625","-108.83653259277344","-108.83653259277344","-108.83653259277344","-60.25032043457031","-60.25032043457031","-60.25032043457031","17.539806365966797","17.539806365966797","17.539806365966797","","",""
"17160","27.26244354248047","27.26244354248047","27.26244354248047","-107.8547592163086","-107.8547592163086","-107.8547592163086","","","","17.72707748413086","17.72707748413086","17.72707748413086","11.513922691345215","11.513922691345215","11.513922691345215"
"17288","26.84257698059082","26.84257698059082","26.84257698059082","","","","","","","18.44245147705078","18.44245147705078","18.44245147705078","","",""
