"Step","dflex_humanoid_4 - train_return","dflex_humanoid_4 - train_return__MIN","dflex_humanoid_4 - train_return__MAX","dflex_humanoid_3 - train_return","dflex_humanoid_3 - train_return__MIN","dflex_humanoid_3 - train_return__MAX","dflex_humanoid_2 - train_return","dflex_humanoid_2 - train_return__MIN","dflex_humanoid_2 - train_return__MAX","dflex_humanoid_1 - train_return","dflex_humanoid_1 - train_return__MIN","dflex_humanoid_1 - train_return__MAX","dflex_humanoid_0 - train_return","dflex_humanoid_0 - train_return__MIN","dflex_humanoid_0 - train_return__MAX"
"0","","","","","","","89.39722442626953","89.39722442626953","89.39722442626953","87.68949127197266","87.68949127197266","87.68949127197266","","",""
"7560","69.25184631347656","69.25184631347656","69.25184631347656","","","","","","","","","","","",""
"7688","65.19039154052734","65.19039154052734","65.19039154052734","","","","","","","","","","","",""
"7816","62.01679229736328","62.01679229736328","62.01679229736328","","","","","","","","","","","",""
"7944","","","","90.48503112792969","90.48503112792969","90.48503112792969","","","","83.76072692871094","83.76072692871094","83.76072692871094","","",""
"8072","61.21299743652344","61.21299743652344","61.21299743652344","","","","","","","","","","","",""
"8456","","","","87.76014709472656","87.76014709472656","87.76014709472656","","","","","","","","",""
"8712","","","","86.12848663330078","86.12848663330078","86.12848663330078","","","","76.82404327392578","76.82404327392578","76.82404327392578","","",""
"8840","","","","85.45716094970703","85.45716094970703","85.45716094970703","","","","","","","","",""
"8968","","","","84.58629608154297","84.58629608154297","84.58629608154297","65.82941436767578","65.82941436767578","65.82941436767578","","","","","",""
"9096","","","","","","","65.4991226196289","65.4991226196289","65.4991226196289","","","","82.08866119384766","82.08866119384766","82.08866119384766"
"9224","","","","","","","","","","73.80252838134766","73.80252838134766","73.80252838134766","","",""
"9480","","","","","","","","","","","","","80.15389251708984","80.15389251708984","80.15389251708984"
"9608","60.658714294433594","60.658714294433594","60.658714294433594","","","","","","","","","","","",""
"9736","","","","82.67012786865234","82.67012786865234","82.67012786865234","","","","","","","","",""
"9864","60.362342834472656","60.362342834472656","60.362342834472656","","","","","","","","","","","",""
"9992","","","","82.0567626953125","82.0567626953125","82.0567626953125","","","","","","","","",""
"10120","59.6476936340332","59.6476936340332","59.6476936340332","","","","","","","","","","79.20734405517578","79.20734405517578","79.20734405517578"
"10248","","","","","","","","","","69.14225769042969","69.14225769042969","69.14225769042969","78.9469985961914","78.9469985961914","78.9469985961914"
"10504","56.03033447265625","56.03033447265625","56.03033447265625","","","","","","","","","","","",""
"10632","","","","83.03003692626953","83.03003692626953","83.03003692626953","","","","","","","","",""
"10888","52.424129486083984","52.424129486083984","52.424129486083984","","","","63.765174865722656","63.765174865722656","63.765174865722656","","","","","",""
"11016","","","","","","","","","","69.1667251586914","69.1667251586914","69.1667251586914","","",""
"11144","51.61505889892578","51.61505889892578","51.61505889892578","83.47248077392578","83.47248077392578","83.47248077392578","","","","68.5051040649414","68.5051040649414","68.5051040649414","","",""
"11272","50.7391242980957","50.7391242980957","50.7391242980957","","","","","","","","","","80.35810089111328","80.35810089111328","80.35810089111328"
"11400","50.62654113769531","50.62654113769531","50.62654113769531","","","","61.66331100463867","61.66331100463867","61.66331100463867","68.50325012207031","68.50325012207031","68.50325012207031","80.55030059814453","80.55030059814453","80.55030059814453"
"11528","50.49379348754883","50.49379348754883","50.49379348754883","","","","","","","","","","","",""
"11656","","","","83.7131118774414","83.7131118774414","83.7131118774414","","","","","","","","",""
"12040","50.33754348754883","50.33754348754883","50.33754348754883","","","","","","","","","","81.98394012451172","81.98394012451172","81.98394012451172"
"12680","50.082679748535156","50.082679748535156","50.082679748535156","","","","","","","","","","","",""
