"Step","dflex_snu_humanoid_4 - train_return","dflex_snu_humanoid_4 - train_return__MIN","dflex_snu_humanoid_4 - train_return__MAX","dflex_snu_humanoid_3 - train_return","dflex_snu_humanoid_3 - train_return__MIN","dflex_snu_humanoid_3 - train_return__MAX","dflex_snu_humanoid_2 - train_return","dflex_snu_humanoid_2 - train_return__MIN","dflex_snu_humanoid_2 - train_return__MAX","dflex_snu_humanoid_1 - train_return","dflex_snu_humanoid_1 - train_return__MIN","dflex_snu_humanoid_1 - train_return__MAX","dflex_snu_humanoid_0 - train_return","dflex_snu_humanoid_0 - train_return__MIN","dflex_snu_humanoid_0 - train_return__MAX"
"0","23.619348526000977","23.619348526000977","23.619348526000977","26.337432861328125","26.337432861328125","26.337432861328125","","","","","","","","",""
"7688","23.341468811035156","23.341468811035156","23.341468811035156","","","","","","","","","","","",""
"7944","","","","26.28296661376953","26.28296661376953","26.28296661376953","","","","","","","","",""
"8072","","","","","","","","","","22.765819549560547","22.765819549560547","22.765819549560547","","",""
"8200","","","","26.018041610717773","26.018041610717773","26.018041610717773","22.070146560668945","22.070146560668945","22.070146560668945","22.109804153442383","22.109804153442383","22.109804153442383","","",""
"8328","","","","","","","","","","21.62166404724121","21.62166404724121","21.62166404724121","21.718652725219727","21.718652725219727","21.718652725219727"
"8456","","","","","","","","","","21.289159774780273","21.289159774780273","21.289159774780273","21.06595230102539","21.06595230102539","21.06595230102539"
"8712","","","","","","","","","","","","","19.051244735717773","19.051244735717773","19.051244735717773"
"8840","","","","","","","","","","20.983707427978516","20.983707427978516","20.983707427978516","","",""
"8968","","","","","","","21.150630950927734","21.150630950927734","21.150630950927734","","","","","",""
"9224","","","","","","","","","","","","","18.703720092773438","18.703720092773438","18.703720092773438"
"9352","","","","","","","","","","20.15589141845703","20.15589141845703","20.15589141845703","","",""
"9480","16.187131881713867","16.187131881713867","16.187131881713867","","","","21.42729949951172","21.42729949951172","21.42729949951172","","","","","",""
"9608","15.54946231842041","15.54946231842041","15.54946231842041","","","","21.40974235534668","21.40974235534668","21.40974235534668","","","","","",""
"9992","","","","23.09987449645996","23.09987449645996","23.09987449645996","","","","","","","","",""
"10120","","","","23.447223663330078","23.447223663330078","23.447223663330078","21.437891006469727","21.437891006469727","21.437891006469727","","","","","",""
"10376","","","","","","","","","","20.1179141998291","20.1179141998291","20.1179141998291","","",""
"10504","","","","24.000165939331055","24.000165939331055","24.000165939331055","","","","","","","","",""
"10632","","","","","","","","","","","","","19.93853759765625","19.93853759765625","19.93853759765625"
"11016","","","","","","","","","","19.040143966674805","19.040143966674805","19.040143966674805","","",""
"11144","","","","","","","20.95968246459961","20.95968246459961","20.95968246459961","18.235111236572266","18.235111236572266","18.235111236572266","","",""
"11272","","","","24.417131423950195","24.417131423950195","24.417131423950195","","","","","","","19.46900749206543","19.46900749206543","19.46900749206543"
"11400","","","","","","","","","","17.34178352355957","17.34178352355957","17.34178352355957","","",""
"11528","","","","","","","20.808168411254883","20.808168411254883","20.808168411254883","","","","","",""
"11656","9.727209091186523","9.727209091186523","9.727209091186523","","","","","","","17.203754425048828","17.203754425048828","17.203754425048828","19.214298248291016","19.214298248291016","19.214298248291016"
"11784","","","","23.935489654541016","23.935489654541016","23.935489654541016","","","","","","","","",""
"11912","","","","23.47161102294922","23.47161102294922","23.47161102294922","","","","","","","","",""
"12040","","","","","","","20.102115631103516","20.102115631103516","20.102115631103516","","","","","",""
"12168","","","","","","","","","","","","","18.861326217651367","18.861326217651367","18.861326217651367"
"12296","","","","22.975971221923828","22.975971221923828","22.975971221923828","19.29938507080078","19.29938507080078","19.29938507080078","","","","","",""
"12424","","","","","","","","","","","","","18.639602661132812","18.639602661132812","18.639602661132812"
"12552","","","","22.66769027709961","22.66769027709961","22.66769027709961","18.68851661682129","18.68851661682129","18.68851661682129","","","","","",""
"12936","","","","","","","18.055313110351562","18.055313110351562","18.055313110351562","","","","18.28180694580078","18.28180694580078","18.28180694580078"
"13064","","","","","","","17.97832679748535","17.97832679748535","17.97832679748535","","","","18.1925048828125","18.1925048828125","18.1925048828125"
"13320","","","","","","","","","","16.5379695892334","16.5379695892334","16.5379695892334","","",""
"13448","","","","22.24398422241211","22.24398422241211","22.24398422241211","17.584442138671875","17.584442138671875","17.584442138671875","","","","","",""
"13576","","","","","","","17.510698318481445","17.510698318481445","17.510698318481445","","","","","",""
"13704","","","","","","","17.31620979309082","17.31620979309082","17.31620979309082","","","","","",""
"13832","","","","","","","17.18210220336914","17.18210220336914","17.18210220336914","16.602764129638672","16.602764129638672","16.602764129638672","17.91313934326172","17.91313934326172","17.91313934326172"
"13960","","","","","","","","","","16.35487174987793","16.35487174987793","16.35487174987793","","",""
"14088","8.379591941833496","8.379591941833496","8.379591941833496","","","","","","","","","","18.296924591064453","18.296924591064453","18.296924591064453"
