"global_step","honest-sweep-20 - _step","honest-sweep-20 - _step__MIN","honest-sweep-20 - _step__MAX","honest-sweep-20 - rewards/step","honest-sweep-20 - rewards/step__MIN","honest-sweep-20 - rewards/step__MAX","upbeat-sweep-19 - _step","upbeat-sweep-19 - _step__MIN","upbeat-sweep-19 - _step__MAX","upbeat-sweep-19 - rewards/step","upbeat-sweep-19 - rewards/step__MIN","upbeat-sweep-19 - rewards/step__MAX","easy-sweep-13 - _step","easy-sweep-13 - _step__MIN","easy-sweep-13 - _step__MAX","easy-sweep-13 - rewards/step","easy-sweep-13 - rewards/step__MIN","easy-sweep-13 - rewards/step__MAX","helpful-sweep-9 - _step","helpful-sweep-9 - _step__MIN","helpful-sweep-9 - _step__MAX","helpful-sweep-9 - rewards/step","helpful-sweep-9 - rewards/step__MIN","helpful-sweep-9 - rewards/step__MAX","serene-sweep-7 - _step","serene-sweep-7 - _step__MIN","serene-sweep-7 - _step__MAX","serene-sweep-7 - rewards/step","serene-sweep-7 - rewards/step__MIN","serene-sweep-7 - rewards/step__MAX"
"0","0","0","0","-90.94023132324219","-90.94023132324219","-90.94023132324219","0","0","0","-53.61714553833008","-53.61714553833008","-53.61714553833008","0","0","0","-73.47900390625","-73.47900390625","-73.47900390625","0","0","0","-45.81040573120117","-45.81040573120117","-45.81040573120117","0","0","0","-64.6681137084961","-64.6681137084961","-64.6681137084961"
"245760","4","4","4","-32.148868560791016","-32.148868560791016","-32.148868560791016","4","4","4","0.36684370040893555","0.36684370040893555","0.36684370040893555","4","4","4","-37.63347625732422","-37.63347625732422","-37.63347625732422","4","4","4","-44.250732421875","-44.250732421875","-44.250732421875","4","4","4","-13.413433074951172","-13.413433074951172","-13.413433074951172"
"491520","7","7","7","49.36286163330078","49.36286163330078","49.36286163330078","7","7","7","46.70983123779297","46.70983123779297","46.70983123779297","7","7","7","34.1031494140625","34.1031494140625","34.1031494140625","7","7","7","20.43234634399414","20.43234634399414","20.43234634399414","7","7","7","46.978797912597656","46.978797912597656","46.978797912597656"
"737280","10","10","10","108.0458755493164","108.0458755493164","108.0458755493164","10","10","10","87.30567169189453","87.30567169189453","87.30567169189453","10","10","10","77.17094421386719","77.17094421386719","77.17094421386719","10","10","10","86.59686279296875","86.59686279296875","86.59686279296875","10","10","10","97.03714752197266","97.03714752197266","97.03714752197266"
"983040","13","13","13","122.80277252197266","122.80277252197266","122.80277252197266","13","13","13","96.40729522705078","96.40729522705078","96.40729522705078","13","13","13","88.01942443847656","88.01942443847656","88.01942443847656","13","13","13","103.91251373291016","103.91251373291016","103.91251373291016","13","13","13","115.21949005126953","115.21949005126953","115.21949005126953"
"1228800","16","16","16","144.75784301757812","144.75784301757812","144.75784301757812","16","16","16","117.21556091308594","117.21556091308594","117.21556091308594","16","16","16","92.20146942138672","92.20146942138672","92.20146942138672","16","16","16","114.8578872680664","114.8578872680664","114.8578872680664","16","16","16","123.58644104003906","123.58644104003906","123.58644104003906"
"1474560","19","19","19","161.08384704589844","161.08384704589844","161.08384704589844","19","19","19","142.03684997558594","142.03684997558594","142.03684997558594","19","19","19","90.45494842529297","90.45494842529297","90.45494842529297","19","19","19","132.4303741455078","132.4303741455078","132.4303741455078","19","19","19","143.8641815185547","143.8641815185547","143.8641815185547"
"1720320","22","22","22","190.8748779296875","190.8748779296875","190.8748779296875","22","22","22","169.0529022216797","169.0529022216797","169.0529022216797","22","22","22","105.35710906982422","105.35710906982422","105.35710906982422","22","22","22","157.62806701660156","157.62806701660156","157.62806701660156","22","22","22","165.5392608642578","165.5392608642578","165.5392608642578"
"1966080","25","25","25","217.1844024658203","217.1844024658203","217.1844024658203","25","25","25","218.3955841064453","218.3955841064453","218.3955841064453","25","25","25","116.96282196044922","116.96282196044922","116.96282196044922","25","25","25","189.35382080078125","189.35382080078125","189.35382080078125","25","25","25","215.59722900390625","215.59722900390625","215.59722900390625"
"2211840","28","28","28","290.917724609375","290.917724609375","290.917724609375","28","28","28","271.2835388183594","271.2835388183594","271.2835388183594","28","28","28","135.25665283203125","135.25665283203125","135.25665283203125","28","28","28","235.8436737060547","235.8436737060547","235.8436737060547","28","28","28","295.30499267578125","295.30499267578125","295.30499267578125"
