Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
95,,,,,,,1671168.0,1671168.0,1671168.0,152.26547241210938,152.26547241210938,152.26547241210938,,,,,,
111,1703936.0,1703936.0,1703936.0,123.11779022216795,123.11779022216795,123.11779022216795,,,,,,,,,,,,
113,,,,,,,,,,,,,1703936.0,1703936.0,1703936.0,98.55296325683594,98.55296325683594,98.55296325683594
189,,,,,,,3309568.0,3309568.0,3309568.0,25.87236213684082,25.87236213684082,25.87236213684082,,,,,,
209,3342336.0,3342336.0,3342336.0,53.8774299621582,53.8774299621582,53.8774299621582,,,,,,,,,,,,
226,,,,,,,,,,,,,3342336.0,3342336.0,3342336.0,23.55896377563477,23.55896377563477,23.55896377563477
310,,,,,,,4947968.0,4947968.0,4947968.0,26.921283721923828,26.921283721923828,26.921283721923828,,,,,,
315,4980736.0,4980736.0,4980736.0,18.394041061401367,18.394041061401367,18.394041061401367,,,,,,,,,,,,
347,,,,,,,,,,,,,4980736.0,4980736.0,4980736.0,26.95669937133789,26.95669937133789,26.95669937133789
419,6619136.0,6619136.0,6619136.0,29.89108085632324,29.89108085632324,29.89108085632324,,,,,,,,,,,,
424,,,,,,,6586368.0,6586368.0,6586368.0,33.3277473449707,33.3277473449707,33.3277473449707,,,,,,
458,,,,,,,,,,,,,6619136.0,6619136.0,6619136.0,30.582609176635746,30.582609176635746,30.582609176635746
537,8257536.0,8257536.0,8257536.0,36.29802703857422,36.29802703857422,36.29802703857422,,,,,,,,,,,,
544,,,,,,,8224768.0,8224768.0,8224768.0,33.243751525878906,33.243751525878906,33.243751525878906,,,,,,
574,,,,,,,,,,,,,8257536.0,8257536.0,8257536.0,32.80687713623047,32.80687713623047,32.80687713623047
655,9895936.0,9895936.0,9895936.0,34.1474609375,34.1474609375,34.1474609375,,,,,,,,,,,,
660,,,,,,,9863168.0,9863168.0,9863168.0,32.770687103271484,32.770687103271484,32.770687103271484,,,,,,
696,,,,,,,,,,,,,9895936.0,9895936.0,9895936.0,35.454898834228516,35.454898834228516,35.454898834228516
771,11534336.0,11534336.0,11534336.0,34.84556579589844,34.84556579589844,34.84556579589844,,,,,,,,,,,,
780,,,,,,,11501568.0,11501568.0,11501568.0,33.84977340698242,33.84977340698242,33.84977340698242,,,,,,
816,,,,,,,,,,,,,11534336.0,11534336.0,11534336.0,34.54083251953125,34.54083251953125,34.54083251953125
884,13172736.0,13172736.0,13172736.0,32.084068298339844,32.084068298339844,32.084068298339844,,,,,,,,,,,,
897,,,,,,,13139968.0,13139968.0,13139968.0,31.95538330078125,31.95538330078125,31.95538330078125,,,,,,
928,,,,,,,,,,,,,13172736.0,13172736.0,13172736.0,53.565486907958984,53.565486907958984,53.565486907958984
1003,14811136.0,14811136.0,14811136.0,33.90038299560547,33.90038299560547,33.90038299560547,,,,,,,,,,,,
1013,,,,,,,14778368.0,14778368.0,14778368.0,33.52827072143555,33.52827072143555,33.52827072143555,,,,,,
1047,,,,,,,,,,,,,14811136.0,14811136.0,14811136.0,32.65959548950195,32.65959548950195,32.65959548950195
1123,16449536.0,16449536.0,16449536.0,33.266639709472656,33.266639709472656,33.266639709472656,,,,,,,,,,,,
1131,,,,,,,16416768.0,16416768.0,16416768.0,34.639564514160156,34.639564514160156,34.639564514160156,,,,,,
1170,,,,,,,,,,,,,16449536.0,16449536.0,16449536.0,33.08982467651367,33.08982467651367,33.08982467651367
1238,18087936.0,18087936.0,18087936.0,55.94593811035156,55.94593811035156,55.94593811035156,,,,,,,,,,,,
1249,,,,,,,18055168.0,18055168.0,18055168.0,33.03683090209961,33.03683090209961,33.03683090209961,,,,,,
1293,,,,,,,,,,,,,18087936.0,18087936.0,18087936.0,32.92259979248047,32.92259979248047,32.92259979248047
1348,19726336.0,19726336.0,19726336.0,32.879127502441406,32.879127502441406,32.879127502441406,,,,,,,,,,,,
1364,,,,,,,19693568.0,19693568.0,19693568.0,32.883201599121094,32.883201599121094,32.883201599121094,,,,,,
1413,,,,,,,,,,,,,19726336.0,19726336.0,19726336.0,33.72156524658203,33.72156524658203,33.72156524658203
1464,21364736.0,21364736.0,21364736.0,32.40232467651367,32.40232467651367,32.40232467651367,,,,,,,,,,,,
1481,,,,,,,21331968.0,21331968.0,21331968.0,33.31496047973633,33.31496047973633,33.31496047973633,,,,,,
1537,,,,,,,,,,,,,21364736.0,21364736.0,21364736.0,35.04567337036133,35.04567337036133,35.04567337036133
1578,23003136.0,23003136.0,23003136.0,32.818603515625,32.818603515625,32.818603515625,,,,,,,,,,,,
