Step,FOWM_AntEnv_sweep_4 - rewards,FOWM_AntEnv_sweep_4 - rewards__MIN,FOWM_AntEnv_sweep_4 - rewards__MAX,FOWM_AntEnv_sweep_3 - rewards,FOWM_AntEnv_sweep_3 - rewards__MIN,FOWM_AntEnv_sweep_3 - rewards__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
76800,195.6007843017578,195.6007843017578,195.6007843017578,78.30745697021484,78.30745697021484,78.30745697021484,208.85076904296875,208.85076904296875,208.85076904296875,142.35232543945312,142.35232543945312,142.35232543945312,225.8784942626953,225.8784942626953,225.8784942626953
153600,527.5732067674419,531.06689453125,531.06689453125,237.55625242197587,236.8579864501953,236.8579864501953,514.5811902129337,513.2543334960938,513.2543334960938,465.604971451156,467.4063415527344,467.4063415527344,644.3774086997144,642.5431518554688,642.5431518554688
230400,1100.1924340426963,1107.1798095703125,1107.1798095703125,576.5963610451237,575.1998291015625,575.1998291015625,1340.45840093368,1337.8046875,1337.8046875,1104.4702578437184,1108.072998046875,1108.072998046875,1251.1454423994287,1247.4769287109375,1247.4769287109375
307200,1249.453262880451,1259.934326171875,1259.934326171875,978.4107158840917,976.31591796875,976.31591796875,1476.3427527677075,1472.3621826171875,1472.3621826171875,1251.6394687968275,1257.0435791015625,1257.0435791015625,1576.0967646733618,1570.593994140625,1570.593994140625
384000,1732.6429247260178,1746.61767578125,1746.61767578125,1466.0533177933723,1463.26025390625,1463.26025390625,1123.40312999236,1118.095703125,1118.095703125,1847.1333867811866,1854.3388671875,1854.3388671875,1683.5267246426074,1676.189697265625,1676.189697265625
460800,2184.7261412590847,2202.194580078125,2202.194580078125,1622.8261687260904,1619.3348388671875,1619.3348388671875,1601.0360169826374,1594.4017333984375,1594.4017333984375,2162.9013526171084,2171.908203125,2171.908203125,1513.453022502478,1504.28173828125,1504.28173828125
537600,1949.3994456827766,1970.361572265625,1970.361572265625,1422.5289512994334,1418.33935546875,1418.33935546875,1472.5362135432274,1464.5750732421875,1464.5750732421875,1410.923468843655,1421.731689453125,1421.731689453125,1587.504686573286,1576.4991455078125,1576.4991455078125
614400,2458.4404258877184,2482.896240234375,2482.896240234375,1522.482832505589,1517.594970703125,1517.594970703125,1407.55215717413,1398.26416015625,1398.26416015625,2175.9370401483266,2188.546630859375,2188.546630859375,1397.8648223237817,1385.0250244140625,1385.0250244140625
691200,2522.6256932020356,2550.5751953125,2550.5751953125,2144.5695262117447,2138.9833984375,2138.9833984375,1838.3196877190949,1827.704833984375,1827.704833984375,2269.012867312373,2283.423828125,2283.423828125,2338.923078191465,2324.2490234375,2324.2490234375
768000,2824.387620672602,2855.830810546875,2855.830810546875,2542.92428632415,2536.639892578125,2536.639892578125,1156.5377797874974,1144.5960693359375,1144.5960693359375,2821.5430401795447,2837.75537109375,2837.75537109375,2077.5239365982106,2061.015625,2061.015625
844800,2929.0540891587943,2963.990966796875,2963.990966796875,2918.1059507334307,2911.123291015625,2911.123291015625,1628.6887331840248,1615.420166015625,1615.420166015625,3269.6842970310913,3287.697998046875,3287.697998046875,1560.790322348706,1542.44775390625,1542.44775390625
921600,2907.5728525668615,2946.00341796875,2946.00341796875,2444.6040213927113,2436.923095703125,2436.923095703125,1887.8518936118023,1873.2564697265625,1873.2564697265625,3211.1993331795134,3231.014404296875,3231.014404296875,1914.8988711851391,1894.7220458984375,1894.7220458984375
998400,2771.229799568678,2813.154052734375,2813.154052734375,2656.673869395742,2648.294677734375,2648.294677734375,2025.3260891958298,2009.40380859375,2009.40380859375,3274.95094159356,3296.5673828125,3296.5673828125,2169.850925880947,2147.83984375,2147.83984375
1075200,2631.9057895392452,2677.32373046875,2677.32373046875,3053.0813638831473,3044.00390625,3044.00390625,1716.7745279439198,1699.525390625,1699.525390625,3007.7442980544815,3031.162109375,3031.162109375,2062.413942490818,2038.568603515625,2038.568603515625
