Step,FOWM_AnymalEnv_sweep_4 - rewards,FOWM_AnymalEnv_sweep_4 - rewards__MIN,FOWM_AnymalEnv_sweep_4 - rewards__MAX,FOWM_AnymalEnv_sweep_3 - rewards,FOWM_AnymalEnv_sweep_3 - rewards__MIN,FOWM_AnymalEnv_sweep_3 - rewards__MAX,FOWM_AnymalEnv_sweep_2 - rewards,FOWM_AnymalEnv_sweep_2 - rewards__MIN,FOWM_AnymalEnv_sweep_2 - rewards__MAX,FOWM_AnymalEnv_sweep_1 - rewards,FOWM_AnymalEnv_sweep_1 - rewards__MIN,FOWM_AnymalEnv_sweep_1 - rewards__MAX,FOWM_AnymalEnv_sweep_0 - rewards,FOWM_AnymalEnv_sweep_0 - rewards__MIN,FOWM_AnymalEnv_sweep_0 - rewards__MAX
26112.0,31.999069213867188,31.999069213867188,31.999069213867188,26.596698760986328,26.596698760986328,26.596698760986328,,,,,,,31.787906646728516,31.787906646728516,31.787906646728516
26624.0,34.955753326416016,,,,,,33.1149787902832,33.1149787902832,33.1149787902832,31.340709686279297,31.340709686279297,31.340709686279297,34.6143684387207,,
51712.0,37.91243743896485,37.91243743896485,37.91243743896485,36.57003402709961,36.57003402709961,36.57003402709961,33.09276580810547,,,31.131460189819336,,,37.44083023071289,37.44083023071289,37.44083023071289
52224.0,44.835397720336914,,,,,,33.070552825927734,33.070552825927734,33.070552825927734,30.922210693359375,30.922210693359375,30.922210693359375,39.85555458068848,,
77312.0,51.758358001708984,51.758358001708984,51.758358001708984,40.48673248291016,40.48673248291016,40.48673248291016,38.12515830993652,,,31.729904174804688,,,42.27027893066406,42.27027893066406,42.27027893066406
77824.0,48.23653602600098,,,,,,43.17976379394531,43.17976379394531,43.17976379394531,32.53759765625,32.53759765625,32.53759765625,43.442636489868164,,
102912.0,44.71471405029297,44.71471405029297,44.71471405029297,38.93392562866211,38.93392562866211,38.93392562866211,46.633670806884766,,,38.05430793762207,,,44.614994049072266,44.614994049072266,44.614994049072266
103424.0,46.04092788696289,,,,,,50.08757781982422,50.08757781982422,50.08757781982422,43.57101821899414,43.57101821899414,43.57101821899414,44.719614028930664,,
128512.0,47.36714172363281,47.36714172363281,47.36714172363281,36.538719177246094,36.538719177246094,36.538719177246094,51.62442970275879,,,52.74714469909668,,,44.82423400878906,44.82423400878906,44.82423400878906
129024.0,50.48468017578125,,,,,,53.16128158569336,53.16128158569336,53.16128158569336,61.92327117919922,61.92327117919922,61.92327117919922,46.46866989135742,,
154112.0,53.60221862792969,53.60221862792969,53.60221862792969,41.96575546264648,41.96575546264648,41.96575546264648,56.486135482788086,,,61.25317573547363,,,48.11310577392578,48.11310577392578,48.11310577392578
154624.0,57.29010009765625,,,,,,59.81098937988281,59.81098937988281,59.81098937988281,60.58308029174805,60.58308029174805,60.58308029174805,47.358354568481445,,
179712.0,60.97798156738281,60.97798156738281,60.97798156738281,42.83012771606445,42.83012771606445,42.83012771606445,67.62914657592773,,,66.19316673278809,,,46.60360336303711,46.60360336303711,46.60360336303711
180224.0,60.28824996948242,,,,,,75.44730377197266,75.44730377197266,75.44730377197266,71.80325317382812,71.80325317382812,71.80325317382812,47.76953887939453,,
205312.0,59.59851837158203,59.59851837158203,59.59851837158203,45.34038162231445,45.34038162231445,45.34038162231445,73.42399597167969,,,71.00646591186523,,,48.93547439575195,48.93547439575195,48.93547439575195
205824.0,63.781402587890625,,,,,,71.40068817138672,71.40068817138672,71.40068817138672,70.20967864990234,70.20967864990234,70.20967864990234,52.38222312927246,,
