"Step","PWM_HopperEnv_sweep_2 - rewards","PWM_HopperEnv_sweep_2 - rewards__MIN","PWM_HopperEnv_sweep_2 - rewards__MAX","PWM_HopperEnv_sweep_1 - rewards","PWM_HopperEnv_sweep_1 - rewards__MIN","PWM_HopperEnv_sweep_1 - rewards__MAX","PWM_HopperEnv_sweep_0 - rewards","PWM_HopperEnv_sweep_0 - rewards__MIN","PWM_HopperEnv_sweep_0 - rewards__MAX"
"51200","181.22943115234375","181.22943115234375","181.22943115234375","207.62527465820312","207.62527465820312","207.62527465820312","205.91030883789062","205.91030883789062","205.91030883789062"
"102400","391.66802978515625","391.66802978515625","391.66802978515625","862.0012817382812","862.0012817382812","862.0012817382812","383.270263671875","383.270263671875","383.270263671875"
"153600","1283.3304443359375","1283.3304443359375","1283.3304443359375","1074.306640625","1074.306640625","1074.306640625","1104.642578125","1104.642578125","1104.642578125"
"204800","1549.15625","1549.15625","1549.15625","1299.525390625","1299.525390625","1299.525390625","1397.2159423828125","1397.2159423828125","1397.2159423828125"
"256000","2072.419677734375","2072.419677734375","2072.419677734375","1795.16162109375","1795.16162109375","1795.16162109375","1409.5755615234375","1409.5755615234375","1409.5755615234375"
"307200","1552.1212158203125","1552.1212158203125","1552.1212158203125","2011.4454345703125","2011.4454345703125","2011.4454345703125","1651.8111572265625","1651.8111572265625","1651.8111572265625"
"358400","1112.623291015625","1112.623291015625","1112.623291015625","1393.64404296875","1393.64404296875","1393.64404296875","2056.474609375","2056.474609375","2056.474609375"
"409600","1923.8629150390625","1923.8629150390625","1923.8629150390625","994.9596557617188","994.9596557617188","994.9596557617188","2393.529296875","2393.529296875","2393.529296875"
"460800","2406.177490234375","2406.177490234375","2406.177490234375","1481.83984375","1481.83984375","1481.83984375","2325.768798828125","2325.768798828125","2325.768798828125"
"512000","2582.96533203125","2582.96533203125","2582.96533203125","1065.638671875","1065.638671875","1065.638671875","2359.48974609375","2359.48974609375","2359.48974609375"
"563200","1981.77490234375","1981.77490234375","1981.77490234375","1127.3369140625","1127.3369140625","1127.3369140625","1716.435791015625","1716.435791015625","1716.435791015625"
"614400","1450.9383544921875","1450.9383544921875","1450.9383544921875","1192.0211181640625","1192.0211181640625","1192.0211181640625","2372.37890625","2372.37890625","2372.37890625"
"665600","1505.76513671875","1505.76513671875","1505.76513671875","2156.218017578125","2156.218017578125","2156.218017578125","2583.15087890625","2583.15087890625","2583.15087890625"
"716800","1810.387451171875","1810.387451171875","1810.387451171875","1510.480712890625","1510.480712890625","1510.480712890625","2629.0625","2629.0625","2629.0625"
"768000","1416.055908203125","1416.055908203125","1416.055908203125","1384.88232421875","1384.88232421875","1384.88232421875","1634.79150390625","1634.79150390625","1634.79150390625"
"819200","1799.6771240234375","1799.6771240234375","1799.6771240234375","2208.79296875","2208.79296875","2208.79296875","1377.433349609375","1377.433349609375","1377.433349609375"
"870400","2202.646240234375","2202.646240234375","2202.646240234375","1542.3126220703125","1542.3126220703125","1542.3126220703125","700.940673828125","700.940673828125","700.940673828125"
