"Step","PWM_HopperEnv_sweep_1 - rewards","PWM_HopperEnv_sweep_1 - rewards__MIN","PWM_HopperEnv_sweep_1 - rewards__MAX","PWM_HopperEnv_sweep_2 - rewards","PWM_HopperEnv_sweep_2 - rewards__MIN","PWM_HopperEnv_sweep_2 - rewards__MAX","PWM_HopperEnv_sweep_0 - rewards","PWM_HopperEnv_sweep_0 - rewards__MIN","PWM_HopperEnv_sweep_0 - rewards__MAX"
"51200","76.56452178955078","76.56452178955078","76.56452178955078","115.04383850097656","115.04383850097656","115.04383850097656","10.159180641174316","10.159180641174316","10.159180641174316"
"102400","294.4132080078125","294.4132080078125","294.4132080078125","242.43307495117188","242.43307495117188","242.43307495117188","-80.3222427368164","-80.3222427368164","-80.3222427368164"
"153600","685.06787109375","685.06787109375","685.06787109375","577.487060546875","577.487060546875","577.487060546875","290.9786376953125","290.9786376953125","290.9786376953125"
"204800","1059.7041015625","1059.7041015625","1059.7041015625","1032.1671142578125","1032.1671142578125","1032.1671142578125","851.4824829101562","851.4824829101562","851.4824829101562"
"256000","899.862548828125","899.862548828125","899.862548828125","1219.390869140625","1219.390869140625","1219.390869140625","1335.6810302734375","1335.6810302734375","1335.6810302734375"
"307200","913.1776123046875","913.1776123046875","913.1776123046875","900.4856567382812","900.4856567382812","900.4856567382812","1337.7974853515625","1337.7974853515625","1337.7974853515625"
"358400","1079.2677001953125","1079.2677001953125","1079.2677001953125","981.5877685546875","981.5877685546875","981.5877685546875","1646.3199462890625","1646.3199462890625","1646.3199462890625"
"409600","1587.0943603515625","1587.0943603515625","1587.0943603515625","1122.1185302734375","1122.1185302734375","1122.1185302734375","1978.2237548828125","1978.2237548828125","1978.2237548828125"
"460800","2098.09423828125","2098.09423828125","2098.09423828125","1108.149169921875","1108.149169921875","1108.149169921875","2070.019287109375","2070.019287109375","2070.019287109375"
"512000","1810.2469482421875","1810.2469482421875","1810.2469482421875","1150.1502685546875","1150.1502685546875","1150.1502685546875","960.01123046875","960.01123046875","960.01123046875"
"563200","1369.92236328125","1369.92236328125","1369.92236328125","1184.193359375","1184.193359375","1184.193359375","1299.8409423828125","1299.8409423828125","1299.8409423828125"
"614400","2081.26953125","2081.26953125","2081.26953125","1466.274169921875","1466.274169921875","1466.274169921875","770.8045043945312","770.8045043945312","770.8045043945312"
"665600","1451.1573486328125","1451.1573486328125","1451.1573486328125","1639.5560302734375","1639.5560302734375","1639.5560302734375","1611.97216796875","1611.97216796875","1611.97216796875"
"716800","1326.206787109375","1326.206787109375","1326.206787109375","1586.9599609375","1586.9599609375","1586.9599609375","768.912109375","768.912109375","768.912109375"
"768000","1110.7342529296875","1110.7342529296875","1110.7342529296875","1701.2664794921875","1701.2664794921875","1701.2664794921875","1016.5905151367188","1016.5905151367188","1016.5905151367188"
"819200","1616.9097900390625","1616.9097900390625","1616.9097900390625","1399.7684326171875","1399.7684326171875","1399.7684326171875","1352.152099609375","1352.152099609375","1352.152099609375"
"870400","1657.547119140625","1657.547119140625","1657.547119140625","1852.2646484375","1852.2646484375","1852.2646484375","1338.4437255859375","1338.4437255859375","1338.4437255859375"
"921600","1896.482421875","1896.482421875","1896.482421875","1416.36279296875","1416.36279296875","1416.36279296875","1178.337646484375","1178.337646484375","1178.337646484375"
"972800","1672.4735107421875","1672.4735107421875","1672.4735107421875","1062.2554931640625","1062.2554931640625","1062.2554931640625","1251.085693359375","1251.085693359375","1251.085693359375"
"1024000","1544.361328125","1544.361328125","1544.361328125","1126.937744140625","1126.937744140625","1126.937744140625","1112.2744140625","1112.2744140625","1112.2744140625"
"1075200","1677.0477294921875","1677.0477294921875","1677.0477294921875","1991.3443603515625","1991.3443603515625","1991.3443603515625","2117.90283203125","2117.90283203125","2117.90283203125"
"1126400","1979.3702392578125","1979.3702392578125","1979.3702392578125","1436.9752197265625","1436.9752197265625","1436.9752197265625","1238.4332275390625","1238.4332275390625","1238.4332275390625"
