"Relative Time (Process)","SAC_HopperEnv_sweep_4 - _step","SAC_HopperEnv_sweep_4 - _step__MIN","SAC_HopperEnv_sweep_4 - _step__MAX","SAC_HopperEnv_sweep_4 - rewards/time","SAC_HopperEnv_sweep_4 - rewards/time__MIN","SAC_HopperEnv_sweep_4 - rewards/time__MAX","SAC_HopperEnv_sweep_3 - _step","SAC_HopperEnv_sweep_3 - _step__MIN","SAC_HopperEnv_sweep_3 - _step__MAX","SAC_HopperEnv_sweep_3 - rewards/time","SAC_HopperEnv_sweep_3 - rewards/time__MIN","SAC_HopperEnv_sweep_3 - rewards/time__MAX","SAC_HopperEnv_sweep_2 - _step","SAC_HopperEnv_sweep_2 - _step__MIN","SAC_HopperEnv_sweep_2 - _step__MAX","SAC_HopperEnv_sweep_2 - rewards/time","SAC_HopperEnv_sweep_2 - rewards/time__MIN","SAC_HopperEnv_sweep_2 - rewards/time__MAX","SAC_HopperEnv_sweep_1 - _step","SAC_HopperEnv_sweep_1 - _step__MIN","SAC_HopperEnv_sweep_1 - _step__MAX","SAC_HopperEnv_sweep_1 - rewards/time","SAC_HopperEnv_sweep_1 - rewards/time__MIN","SAC_HopperEnv_sweep_1 - rewards/time__MAX","SAC_HopperEnv_sweep_0 - _step","SAC_HopperEnv_sweep_0 - _step__MIN","SAC_HopperEnv_sweep_0 - _step__MAX","SAC_HopperEnv_sweep_0 - rewards/time","SAC_HopperEnv_sweep_0 - rewards/time__MIN","SAC_HopperEnv_sweep_0 - rewards/time__MAX","SAC_HopperEnv_sweep_9 - _step","SAC_HopperEnv_sweep_9 - _step__MIN","SAC_HopperEnv_sweep_9 - _step__MAX","SAC_HopperEnv_sweep_9 - rewards/time","SAC_HopperEnv_sweep_9 - rewards/time__MIN","SAC_HopperEnv_sweep_9 - rewards/time__MAX","SAC_HopperEnv_sweep_8 - _step","SAC_HopperEnv_sweep_8 - _step__MIN","SAC_HopperEnv_sweep_8 - _step__MAX","SAC_HopperEnv_sweep_8 - rewards/time","SAC_HopperEnv_sweep_8 - rewards/time__MIN","SAC_HopperEnv_sweep_8 - rewards/time__MAX","SAC_HopperEnv_sweep_7 - _step","SAC_HopperEnv_sweep_7 - _step__MIN","SAC_HopperEnv_sweep_7 - _step__MAX","SAC_HopperEnv_sweep_7 - rewards/time","SAC_HopperEnv_sweep_7 - rewards/time__MIN","SAC_HopperEnv_sweep_7 - rewards/time__MAX","SAC_HopperEnv_sweep_6 - _step","SAC_HopperEnv_sweep_6 - _step__MIN","SAC_HopperEnv_sweep_6 - _step__MAX","SAC_HopperEnv_sweep_6 - rewards/time","SAC_HopperEnv_sweep_6 - rewards/time__MIN","SAC_HopperEnv_sweep_6 - rewards/time__MAX","SAC_HopperEnv_sweep_5 - _step","SAC_HopperEnv_sweep_5 - _step__MIN","SAC_HopperEnv_sweep_5 - _step__MAX","SAC_HopperEnv_sweep_5 - rewards/time","SAC_HopperEnv_sweep_5 - rewards/time__MIN","SAC_HopperEnv_sweep_5 - rewards/time__MAX"
"7","0.5","0","1","-6.514434993267059","-14.667045593261719","1.6381756067276","0","0","0","-22.116609573364258","-22.116609573364258","-22.116609573364258","0.5","0","1","-20.200979232788086","-20.78203773498535","-19.61992073059082","0.5","0","1","-25.030062675476074","-31.943422317504883","-18.116703033447266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","2.5","2","3","-28.192848205566406","-32.069175720214844","-24.31652069091797","1.5","1","2","-32.57469654083252","-34.85662841796875","-30.29276466369629","2.5","2","3","-34.24791145324707","-35.85942077636719","-32.63640213012695","2.5","2","3","-32.67092227935791","-33.79595184326172","-31.5458927154541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","4","4","4","-27.06342887878418","-27.06342887878418","-27.06342887878418","3.5","3","4","-23.892640113830566","-25.457321166992188","-22.327959060668945","4.5","4","5","-37.30341720581055","-39.08511734008789","-35.5217170715332","4.5","4","5","-43.21366310119629","-48.72840881347656","-37.698917388916016","","","","","","","0","0","0","-27.599220275878906","-27.599220275878906","-27.599220275878906","0","0","0","-16.242380142211914","-16.242380142211914","-16.242380142211914","","","","","","","0.5","0","1","-19.60193967819214","-33.612239837646484","-5.591639518737793","","","","","",""
"10","5.5","5","6","-37.71810817718506","-58.937625885009766","-16.49859046936035","5","5","5","-28.381620407104492","-28.381620407104492","-28.381620407104492","6.5","6","7","-33.72488307952881","-35.52845764160156","-31.921308517456055","6","6","6","-31.71319580078125","-31.71319580078125","-31.71319580078125","0.5","0","1","-22.819435119628906","-36.42937088012695","-9.20949935913086","1.5","1","2","-13.08834457397461","-18.30758285522461","-7.869106292724609","1.5","1","2","-18.69123935699463","-18.872150421142578","-18.51032829284668","0.5","0","1","-31.085665702819824","-34.086673736572266","-28.084657669067383","2.5","2","3","-20.08043384552002","-26.73724365234375","-13.423624038696289","0.5","0","1","-37.0461368560791","-37.06399154663086","-37.028282165527344"
"11","7.5","7","8","-50.524837493896484","-55.02496337890625","-46.02471160888672","6.5","6","7","-25.271443367004395","-26.692777633666992","-23.850109100341797","8","8","8","-42.31034469604492","-42.31034469604492","-42.31034469604492","7.5","7","8","-30.499396324157715","-32.456260681152344","-28.542531967163086","2.5","2","3","-43.03135681152344","-49.65553283691406","-36.40718078613281","3.5","3","4","-25.267334938049316","-26.32736587524414","-24.207304000854492","3.5","3","4","-47.86747932434082","-52.01169967651367","-43.72325897216797","2.5","2","3","-30.77646255493164","-43.04696273803711","-18.505962371826172","4.5","4","5","-37.8520565032959","-41.9031982421875","-33.8009147644043","2.5","2","3","-40.81878089904785","-43.829681396484375","-37.80788040161133"
"12","","","","","","","8","8","8","-27.01028823852539","-27.01028823852539","-27.01028823852539","","","","","","","","","","","","","4.5","4","5","-55.919687271118164","-61.65737533569336","-50.18199920654297","5","5","5","-48.048240661621094","-48.048240661621094","-48.048240661621094","5.5","5","6","-46.059608459472656","-49.56022262573242","-42.55899429321289","4.5","4","5","-24.685134887695312","-26.698081970214844","-22.67218780517578","6","6","6","-36.59148025512695","-36.59148025512695","-36.59148025512695","4","4","4","-41.15123748779297","-41.15123748779297","-41.15123748779297"
"13","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6","7","-35.861820220947266","-38.93390655517578","-32.78973388671875","6.5","6","7","-38.78984069824219","-39.29513931274414","-38.284542083740234","7.5","7","8","-39.889577865600586","-46.70351028442383","-33.075645446777344","6","6","6","-46.578216552734375","-46.578216552734375","-46.578216552734375","7.5","7","8","-30.23600196838379","-39.23997497558594","-21.23202896118164","5.5","5","6","-31.134607315063477","-37.33805847167969","-24.931156158447266"
"14","9","9","9","-55.02320098876953","-55.02320098876953","-55.02320098876953","9","9","9","-22.265275955200195","-22.265275955200195","-22.265275955200195","9","9","9","-33.437400817871094","-33.437400817871094","-33.437400817871094","9","9","9","-11.79267406463623","-11.79267406463623","-11.79267406463623","8","8","8","-43.19664001464844","-43.19664001464844","-43.19664001464844","8","8","8","-42.533260345458984","-42.533260345458984","-42.533260345458984","","","","","","","7.5","7","8","-49.916337966918945","-53.99667739868164","-45.83599853515625","","","","","","","7.5","7","8","-18.89458179473877","-20.187437057495117","-17.601726531982422"
"16","10","10","10","3.8006978034973145","3.8006978034973145","3.8006978034973145","","","","","","","10","10","10","-49.53251266479492","-49.53251266479492","-49.53251266479492","10","10","10","-20.92116928100586","-20.92116928100586","-20.92116928100586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","10","10","10","-4.6599555015563965","-4.6599555015563965","-4.6599555015563965","","","","","","","","","","","","","9","9","9","-20.885738372802734","-20.885738372802734","-20.885738372802734","","","","","","","","","","","","","","","","","","","9","9","9","-5.166331768035889","-5.166331768035889","-5.166331768035889","","","","","",""
