"Relative Time (Process)","SHAC_AntEnv_sweep_1 - _step","SHAC_AntEnv_sweep_1 - _step__MIN","SHAC_AntEnv_sweep_1 - _step__MAX","SHAC_AntEnv_sweep_1 - rewards","SHAC_AntEnv_sweep_1 - rewards__MIN","SHAC_AntEnv_sweep_1 - rewards__MAX","SHAC_AntEnv_sweep_4 - _step","SHAC_AntEnv_sweep_4 - _step__MIN","SHAC_AntEnv_sweep_4 - _step__MAX","SHAC_AntEnv_sweep_4 - rewards","SHAC_AntEnv_sweep_4 - rewards__MIN","SHAC_AntEnv_sweep_4 - rewards__MAX","SHAC_AntEnv_sweep_2 - _step","SHAC_AntEnv_sweep_2 - _step__MIN","SHAC_AntEnv_sweep_2 - _step__MAX","SHAC_AntEnv_sweep_2 - rewards","SHAC_AntEnv_sweep_2 - rewards__MIN","SHAC_AntEnv_sweep_2 - rewards__MAX","SHAC_AntEnv_sweep_3 - _step","SHAC_AntEnv_sweep_3 - _step__MIN","SHAC_AntEnv_sweep_3 - _step__MAX","SHAC_AntEnv_sweep_3 - rewards","SHAC_AntEnv_sweep_3 - rewards__MIN","SHAC_AntEnv_sweep_3 - rewards__MAX","SHAC_AntEnv_sweep_0 - _step","SHAC_AntEnv_sweep_0 - _step__MIN","SHAC_AntEnv_sweep_0 - _step__MAX","SHAC_AntEnv_sweep_0 - rewards","SHAC_AntEnv_sweep_0 - rewards__MIN","SHAC_AntEnv_sweep_0 - rewards__MAX","SHAC_AntEnv_sweep_9 - _step","SHAC_AntEnv_sweep_9 - _step__MIN","SHAC_AntEnv_sweep_9 - _step__MAX","SHAC_AntEnv_sweep_9 - rewards","SHAC_AntEnv_sweep_9 - rewards__MIN","SHAC_AntEnv_sweep_9 - rewards__MAX","SHAC_AntEnv_sweep_8 - _step","SHAC_AntEnv_sweep_8 - _step__MIN","SHAC_AntEnv_sweep_8 - _step__MAX","SHAC_AntEnv_sweep_8 - rewards","SHAC_AntEnv_sweep_8 - rewards__MIN","SHAC_AntEnv_sweep_8 - rewards__MAX","SHAC_AntEnv_sweep_7 - _step","SHAC_AntEnv_sweep_7 - _step__MIN","SHAC_AntEnv_sweep_7 - _step__MAX","SHAC_AntEnv_sweep_7 - rewards","SHAC_AntEnv_sweep_7 - rewards__MIN","SHAC_AntEnv_sweep_7 - rewards__MAX","SHAC_AntEnv_sweep_6 - _step","SHAC_AntEnv_sweep_6 - _step__MIN","SHAC_AntEnv_sweep_6 - _step__MAX","SHAC_AntEnv_sweep_6 - rewards","SHAC_AntEnv_sweep_6 - rewards__MIN","SHAC_AntEnv_sweep_6 - rewards__MAX","SHAC_AntEnv_sweep_5 - _step","SHAC_AntEnv_sweep_5 - _step__MIN","SHAC_AntEnv_sweep_5 - _step__MAX","SHAC_AntEnv_sweep_5 - rewards","SHAC_AntEnv_sweep_5 - rewards__MIN","SHAC_AntEnv_sweep_5 - rewards__MAX"
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","68.04926300048828","68.04926300048828","68.04926300048828","","","","","","","","","","","","","0","0","0","33.78863525390625","33.78863525390625","33.78863525390625","","","","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","113.354736328125","113.354736328125","113.354736328125","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","91.53289031982422","91.53289031982422","91.53289031982422","2","2","2","128.29559326171875","128.29559326171875","128.29559326171875","","","","","","","1","1","1","62.74616622924805","62.74616622924805","62.74616622924805","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","115.69679260253906","115.69679260253906","115.69679260253906","3","3","3","137.49417114257812","137.49417114257812","137.49417114257812","","","","","","","2","2","2","72.8273696899414","72.8273696899414","72.8273696899414","","","","","",""
"19","","","","","","","","","","","","","0","0","0","30.277395248413086","30.277395248413086","30.277395248413086","","","","","","","0","0","0","24.80345916748047","24.80345916748047","24.80345916748047","4","4","4","114.12364959716797","114.12364959716797","114.12364959716797","4","4","4","146.17828369140625","146.17828369140625","146.17828369140625","","","","","","","3","3","3","88.3624267578125","88.3624267578125","88.3624267578125","","","","","",""
"20","","","","","","","0","0","0","29.72841453552246","29.72841453552246","29.72841453552246","","","","","","","0","0","0","25.712316513061523","25.712316513061523","25.712316513061523","","","","","","","5","5","5","89.77776336669922","89.77776336669922","89.77776336669922","5","5","5","147.8712921142578","147.8712921142578","147.8712921142578","0","0","0","49.32542419433594","49.32542419433594","49.32542419433594","4","4","4","126.99363708496094","126.99363708496094","126.99363708496094","","","","","",""
"21","0","0","0","15.723321914672852","15.723321914672852","15.723321914672852","","","","","","","1","1","1","69.2103500366211","69.2103500366211","69.2103500366211","","","","","","","1","1","1","34.061702728271484","34.061702728271484","34.061702728271484","6","6","6","99.65253448486328","99.65253448486328","99.65253448486328","6","6","6","162.0970458984375","162.0970458984375","162.0970458984375","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1","1","1","54.88908004760742","54.88908004760742","54.88908004760742","","","","","","","1","1","1","31.787277221679688","31.787277221679688","31.787277221679688","","","","","","","","","","","","","","","","","","","1","1","1","81.33486938476562","81.33486938476562","81.33486938476562","5","5","5","151.78060913085938","151.78060913085938","151.78060913085938","","","","","",""
"23","1","1","1","31.919248580932617","31.919248580932617","31.919248580932617","","","","","","","2","2","2","91.13479614257812","91.13479614257812","91.13479614257812","","","","","","","2","2","2","68.55294036865234","68.55294036865234","68.55294036865234","7","7","7","115.85511779785156","115.85511779785156","115.85511779785156","7","7","7","206.5888671875","206.5888671875","206.5888671875","2","2","2","104.34913635253906","104.34913635253906","104.34913635253906","6","6","6","148.177734375","148.177734375","148.177734375","1","1","1","59.443241119384766","59.443241119384766","59.443241119384766"
"24","2","2","2","41.478302001953125","41.478302001953125","41.478302001953125","2","2","2","67.76283264160156","67.76283264160156","67.76283264160156","3","3","3","81.252197265625","81.252197265625","81.252197265625","2","2","2","64.73213958740234","64.73213958740234","64.73213958740234","3","3","3","136.07369995117188","136.07369995117188","136.07369995117188","8","8","8","136.65109252929688","136.65109252929688","136.65109252929688","8","8","8","229.616455078125","229.616455078125","229.616455078125","","","","","","","","","","","","","","","","","",""
