global_step,scarlet-sweep-12 - _step,scarlet-sweep-12 - _step__MIN,scarlet-sweep-12 - _step__MAX,scarlet-sweep-12 - rewards/step,scarlet-sweep-12 - rewards/step__MIN,scarlet-sweep-12 - rewards/step__MAX,rose-sweep-11 - _step,rose-sweep-11 - _step__MIN,rose-sweep-11 - _step__MAX,rose-sweep-11 - rewards/step,rose-sweep-11 - rewards/step__MIN,rose-sweep-11 - rewards/step__MAX,silver-sweep-10 - _step,silver-sweep-10 - _step__MIN,silver-sweep-10 - _step__MAX,silver-sweep-10 - rewards/step,silver-sweep-10 - rewards/step__MIN,silver-sweep-10 - rewards/step__MAX,polished-sweep-12 - _step,polished-sweep-12 - _step__MIN,polished-sweep-12 - _step__MAX,polished-sweep-12 - rewards/step,polished-sweep-12 - rewards/step__MIN,polished-sweep-12 - rewards/step__MAX,visionary-sweep-11 - _step,visionary-sweep-11 - _step__MIN,visionary-sweep-11 - _step__MAX,visionary-sweep-11 - rewards/step,visionary-sweep-11 - rewards/step__MIN,visionary-sweep-11 - rewards/step__MAX
20480.0,,,,,,,1,1,1,0.27976083755493164,0.27976083755493164,0.27976083755493164,1,1,1,7.308757305145264,7.308757305145264,7.308757305145264,,,,,,,1,1,1,0.27976083755493164,0.27976083755493164,0.27976083755493164
40960.0,3.0,3.0,3.0,19.00592803955078,19.00592803955078,19.00592803955078,3,3,3,-4.950187683105469,-4.950187683105469,-4.950187683105469,3,3,3,8.040447235107422,8.040447235107422,8.040447235107422,3.0,3.0,3.0,19.005882263183594,19.005882263183594,19.005882263183594,3,3,3,-4.95048189163208,-4.95048189163208,-4.95048189163208
61440.0,5.0,5.0,5.0,26.265127182006836,26.265127182006836,26.265127182006836,5,5,5,-1.9206522703170776,-1.9206522703170776,-1.9206522703170776,5,5,5,-1.0323199033737183,-1.0323199033737183,-1.0323199033737183,5.0,5.0,5.0,25.431331634521484,25.431331634521484,25.431331634521484,5,5,5,-2.918372631072998,-2.918372631072998,-2.918372631072998
81920.0,7.0,7.0,7.0,31.10499382019043,31.10499382019043,31.10499382019043,7,7,7,16.40972328186035,16.40972328186035,16.40972328186035,7,7,7,-26.49169921875,-26.49169921875,-26.49169921875,7.0,7.0,7.0,28.711027145385746,28.711027145385746,28.711027145385746,7,7,7,12.738033294677734,12.738033294677734,12.738033294677734
102400.0,9.0,9.0,9.0,31.836271286010746,31.836271286010746,31.836271286010746,9,9,9,28.027738571166992,28.027738571166992,28.027738571166992,9,9,9,-12.025053024291992,-12.025053024291992,-12.025053024291992,9.0,9.0,9.0,26.42111587524414,26.42111587524414,26.42111587524414,9,9,9,17.376768112182617,17.376768112182617,17.376768112182617
122880.0,11.0,11.0,11.0,35.62460708618164,35.62460708618164,35.62460708618164,11,11,11,42.23159408569336,42.23159408569336,42.23159408569336,11,11,11,8.626562118530273,8.626562118530273,8.626562118530273,11.0,11.0,11.0,30.508323669433594,30.508323669433594,30.508323669433594,11,11,11,34.2692756652832,34.2692756652832,34.2692756652832
143360.0,13.0,13.0,13.0,43.06455993652344,43.06455993652344,43.06455993652344,13,13,13,54.43541717529297,54.43541717529297,54.43541717529297,13,13,13,15.767147064208984,15.767147064208984,15.767147064208984,13.0,13.0,13.0,41.5942268371582,41.5942268371582,41.5942268371582,13,13,13,44.77346420288086,44.77346420288086,44.77346420288086
163840.0,15.0,15.0,15.0,54.19089126586914,54.19089126586914,54.19089126586914,15,15,15,61.84872817993164,61.84872817993164,61.84872817993164,15,15,15,28.02202033996582,28.02202033996582,28.02202033996582,15.0,15.0,15.0,50.90554428100586,50.90554428100586,50.90554428100586,15,15,15,50.81403732299805,50.81403732299805,50.81403732299805
184320.0,17.0,17.0,17.0,55.4544677734375,55.4544677734375,55.4544677734375,17,17,17,65.09147644042969,65.09147644042969,65.09147644042969,17,17,17,35.88532257080078,35.88532257080078,35.88532257080078,17.0,17.0,17.0,54.83016586303711,54.83016586303711,54.83016586303711,17,17,17,51.33237075805664,51.33237075805664,51.33237075805664
204800.0,19.0,19.0,19.0,64.94564056396484,64.94564056396484,64.94564056396484,19,19,19,63.23377227783203,63.23377227783203,63.23377227783203,19,19,19,42.93136215209961,42.93136215209961,42.93136215209961,19.0,19.0,19.0,61.61957550048828,61.61957550048828,61.61957550048828,19,19,19,56.81315231323242,56.81315231323242,56.81315231323242
225280.0,21.0,21.0,21.0,76.92842102050781,76.92842102050781,76.92842102050781,21,21,21,60.61721420288086,60.61721420288086,60.61721420288086,21,21,21,46.43579483032226,46.43579483032226,46.43579483032226,21.0,21.0,21.0,66.78617858886719,66.78617858886719,66.78617858886719,21,21,21,57.87394714355469,57.87394714355469,57.87394714355469
245760.0,23.0,23.0,23.0,88.55078887939453,88.55078887939453,88.55078887939453,23,23,23,54.17866897583008,54.17866897583008,54.17866897583008,23,23,23,66.83985900878906,66.83985900878906,66.83985900878906,23.0,23.0,23.0,71.02184295654297,71.02184295654297,71.02184295654297,23,23,23,68.1910171508789,68.1910171508789,68.1910171508789
266240.0,25.0,25.0,25.0,93.42987060546875,93.42987060546875,93.42987060546875,25,25,25,60.95923233032226,60.95923233032226,60.95923233032226,25,25,25,82.42092895507812,82.42092895507812,82.42092895507812,25.0,25.0,25.0,74.68425750732422,74.68425750732422,74.68425750732422,25,25,25,71.98478698730469,71.98478698730469,71.98478698730469
286720.0,27.0,27.0,27.0,96.39920806884766,96.39920806884766,96.39920806884766,27,27,27,65.84895324707031,65.84895324707031,65.84895324707031,27,27,27,78.68742370605469,78.68742370605469,78.68742370605469,27.0,27.0,27.0,83.92393493652344,83.92393493652344,83.92393493652344,27,27,27,68.67459869384766,68.67459869384766,68.67459869384766
