Step,TDMPC_AntEnv_4 - train/episode_reward,TDMPC_AntEnv_4 - train/episode_reward__MIN,TDMPC_AntEnv_4 - train/episode_reward__MAX,TDMPC_AntEnv_3 - train/episode_reward,TDMPC_AntEnv_3 - train/episode_reward__MIN,TDMPC_AntEnv_3 - train/episode_reward__MAX,TDMPC_AntEnv_2 - train/episode_reward,TDMPC_AntEnv_2 - train/episode_reward__MIN,TDMPC_AntEnv_2 - train/episode_reward__MAX,TDMPC_AntEnv_1 - train/episode_reward,TDMPC_AntEnv_1 - train/episode_reward__MIN,TDMPC_AntEnv_1 - train/episode_reward__MAX,TDMPC_AntEnv_0 - train/episode_reward,TDMPC_AntEnv_0 - train/episode_reward__MIN,TDMPC_AntEnv_0 - train/episode_reward__MAX
230,,,,,,,,,,,,,21.12690544128418,21.12690544128418,21.12690544128418
307,,,,32.14833264422869,32.14833264422869,32.14833264422869,,,,,,,,,
320,,,,,,,,,,24.54221162939976,24.54221162939976,24.54221162939976,,,
358,,,,,,,39.28843894220755,39.28843894220755,39.28843894220755,,,,,,
371,,,,,,,,,,,,,32.27157230665108,32.27157230665108,32.27157230665108
410,,,,,,,41.69658494355555,41.69658494355555,41.69658494355555,,,,35.18427491547938,35.18427491547938,35.18427491547938
422,,,,,,,,,,48.78326063587994,48.78326063587994,48.78326063587994,,,
435,,,,44.01933513191526,44.01933513191526,44.01933513191526,,,,,,,,,
448,,,,,,,,,,39.815273672140044,39.815273672140044,39.815273672140044,,,
486,47.17212148360506,47.17212148360506,47.17212148360506,,,,,,,,,,,,
589,,,,63.717289454982186,63.717289454982186,63.717289454982186,,,,,,,,,
627,50.084257658292906,50.084257658292906,50.084257658292906,,,,,,,,,,,,
666,71.28289090066613,71.28289090066613,71.28289090066613,,,,,,,,,,,,
691,,,,,,,,,,75.56703821164287,75.56703821164287,75.56703821164287,,,
755,65.45198508316646,65.45198508316646,65.45198508316646,,,,,,,,,,,,
781,77.48608661777601,77.48608661777601,77.48608661777601,,,,,,,,,,,,
883,,,,,,,,,,,,,58.804856121135565,58.804856121135565,58.804856121135565
896,,,,52.41939436228808,52.41939436228808,52.41939436228808,,,,,,,,,
998,100.96317759855778,100.96317759855778,100.96317759855778,,,,,,,,,,,,
1011,,,,57.81046196397788,57.81046196397788,57.81046196397788,,,,,,,,,
1050,,,,,,,,,,33.447377219290544,33.447377219290544,33.447377219290544,,,
1062,,,,82.97730928978876,82.97730928978876,82.97730928978876,,,,,,,,,
1101,,,,101.86635314617565,101.86635314617565,101.86635314617565,,,,,,,,,
1114,,,,104.40374294982816,104.40374294982816,104.40374294982816,,,,,,,,,
1126,93.27320215045334,93.27320215045334,93.27320215045334,,,,,,,,,,,,
1139,,,,85.33720328223086,85.33720328223086,85.33720328223086,,,,28.748425740116602,28.748425740116602,28.748425740116602,72.79894186865664,72.79894186865664,72.79894186865664
1165,,,,55.382558173774,55.382558173774,55.382558173774,,,,,,,,,
1178,,,,,,,,,,94.61907517469214,94.61907517469214,94.61907517469214,,,
1190,51.19743482697747,51.19743482697747,51.19743482697747,,,,,,,,,,,,
1203,,,,,,,,,,,,,123.92561289967296,123.92561289967296,123.92561289967296
1306,,,,98.89183571113797,98.89183571113797,98.89183571113797,,,,,,,,,
1318,119.54113347377486,119.54113347377486,119.54113347377486,,,,,,,,,,,,
1344,,,,73.96746218123597,73.96746218123597,73.96746218123597,,,,,,,,,
1357,,,,,,,,,,81.01718871584552,81.01718871584552,81.01718871584552,,,
1370,142.7457864052402,142.7457864052402,142.7457864052402,,,,,,,,,,,,
1382,,,,53.39241387979117,53.39241387979117,53.39241387979117,,,,,,,,,
1421,139.08521445004524,139.08521445004524,139.08521445004524,,,,,,,,,,,,
1446,,,,120.25154865067043,120.25154865067043,120.25154865067043,,,,,,,,,
1459,,,,131.98320572727215,131.98320572727215,131.98320572727215,,,,,,,,,
1510,,,,30.425958613810415,30.425958613810415,30.425958613810415,,,,73.71073530143249,73.71073530143249,73.71073530143249,85.20229719108093,85.20229719108093,85.20229719108093
1574,,,,,,,,,,,,,73.7210026075264,73.7210026075264,73.7210026075264
1613,,,,,,,,,,107.95668800444064,107.95668800444064,107.95668800444064,110.93663032621798,110.93663032621798,110.93663032621798
1651,,,,,,,,,,122.29168522996814,122.29168522996814,122.29168522996814,,,
1677,,,,,,,113.14606874699956,113.14606874699956,113.14606874699956,,,,,,
1754,,,,,,,,,,105.9641744930349,105.9641744930349,105.9641744930349,,,
1766,,,,,,,,,,,,,106.9069292869218,106.9069292869218,106.9069292869218
1779,,,,,,,116.47165521117978,116.47165521117978,116.47165521117978,,,,,,
1792,150.00769461200028,150.00769461200028,150.00769461200028,202.6256908278206,202.6256908278206,202.6256908278206,,,,,,,,,
1805,85.64837115881684,85.64837115881684,85.64837115881684,,,,,,,,,,,,
1830,102.91097305963733,102.91097305963733,102.91097305963733,,,,,,,,,,,,
1843,,,,138.00985578321172,138.00985578321172,138.00985578321172,,,,,,,,,
1869,64.07738550995994,64.07738550995994,64.07738550995994,,,,87.08405741547752,87.08405741547752,87.08405741547752,,,,,,
1971,,,,,,,,,,49.35663093495034,49.35663093495034,49.35663093495034,,,
2010,34.20405644416927,34.20405644416927,34.20405644416927,,,,,,,,,,,,
2035,,,,88.95271181178663,88.95271181178663,88.95271181178663,,,,,,,,,
2074,,,,,,,,,,,,,71.1349380412204,71.1349380412204,71.1349380412204
2112,,,,55.634699671044785,55.634699671044785,55.634699671044785,,,,,,,,,
