Step,TDMPC_AnymalEnv_sweep_4 - _step,TDMPC_AnymalEnv_sweep_4 - _step__MIN,TDMPC_AnymalEnv_sweep_4 - _step__MAX,TDMPC_AnymalEnv_sweep_4 - train/episode_reward,TDMPC_AnymalEnv_sweep_4 - train/episode_reward__MIN,TDMPC_AnymalEnv_sweep_4 - train/episode_reward__MAX,TDMPC_AnymalEnv_sweep_3 - _step,TDMPC_AnymalEnv_sweep_3 - _step__MIN,TDMPC_AnymalEnv_sweep_3 - _step__MAX,TDMPC_AnymalEnv_sweep_3 - train/episode_reward,TDMPC_AnymalEnv_sweep_3 - train/episode_reward__MIN,TDMPC_AnymalEnv_sweep_3 - train/episode_reward__MAX,TDMPC_AnymalEnv_sweep_0 - _step,TDMPC_AnymalEnv_sweep_0 - _step__MIN,TDMPC_AnymalEnv_sweep_0 - _step__MAX,TDMPC_AnymalEnv_sweep_0 - train/episode_reward,TDMPC_AnymalEnv_sweep_0 - train/episode_reward__MIN,TDMPC_AnymalEnv_sweep_0 - train/episode_reward__MAX,TDMPC_AnymalEnv_sweep_2 - _step,TDMPC_AnymalEnv_sweep_2 - _step__MIN,TDMPC_AnymalEnv_sweep_2 - _step__MAX,TDMPC_AnymalEnv_sweep_2 - train/episode_reward,TDMPC_AnymalEnv_sweep_2 - train/episode_reward__MIN,TDMPC_AnymalEnv_sweep_2 - train/episode_reward__MAX,TDMPC_AnymalEnv_sweep_1 - _step,TDMPC_AnymalEnv_sweep_1 - _step__MIN,TDMPC_AnymalEnv_sweep_1 - _step__MAX,TDMPC_AnymalEnv_sweep_1 - train/episode_reward,TDMPC_AnymalEnv_sweep_1 - train/episode_reward__MIN,TDMPC_AnymalEnv_sweep_1 - train/episode_reward__MAX
6827,0.0,0.0,0.0,82.82389831542969,82.82389831542969,82.82389831542969,0.0,0.0,0.0,78.99887084960938,78.99887084960938,78.99887084960938,0.0,0.0,0.0,69.58479309082031,69.58479309082031,69.58479309082031,0.0,0.0,0.0,74.24337005615234,74.24337005615234,74.24337005615234,0,0,0,81.79829406738281,81.79829406738281,81.79829406738281
13653,1.0,1.0,1.0,107.64256286621094,107.64256286621094,107.64256286621094,1.0,1.0,1.0,106.0875473022461,106.0875473022461,106.0875473022461,1.0,1.0,1.0,94.64234924316406,94.64234924316406,94.64234924316406,1.0,1.0,1.0,99.97550201416016,99.97550201416016,99.97550201416016,1,1,1,98.70298767089844,98.70298767089844,98.70298767089844
20480,2.0,2.0,2.0,128.7490997314453,128.7490997314453,128.7490997314453,2.0,2.0,2.0,117.79727935791016,117.79727935791016,117.79727935791016,2.0,2.0,2.0,118.08929443359376,118.08929443359376,118.08929443359376,2.0,2.0,2.0,117.3054428100586,117.3054428100586,117.3054428100586,2,2,2,122.21788787841795,122.21788787841795,122.21788787841795
27307,3.0,3.0,3.0,129.1051025390625,129.1051025390625,129.1051025390625,3.0,3.0,3.0,124.50760650634766,124.50760650634766,124.50760650634766,3.0,3.0,3.0,127.0674285888672,127.0674285888672,127.0674285888672,3.0,3.0,3.0,132.09774780273438,132.09774780273438,132.09774780273438,3,3,3,137.70718383789062,137.70718383789062,137.70718383789062
34133,4.0,4.0,4.0,129.3072509765625,129.3072509765625,129.3072509765625,4.0,4.0,4.0,129.41900634765625,129.41900634765625,129.41900634765625,4.0,4.0,4.0,130.4276580810547,130.4276580810547,130.4276580810547,4.0,4.0,4.0,138.36810302734375,138.36810302734375,138.36810302734375,4,4,4,134.69900512695312,134.69900512695312,134.69900512695312
40960,5.0,5.0,5.0,132.5762481689453,132.5762481689453,132.5762481689453,5.0,5.0,5.0,130.27984619140625,130.27984619140625,130.27984619140625,5.0,5.0,5.0,134.20980834960938,134.20980834960938,134.20980834960938,5.0,5.0,5.0,129.54119873046875,129.54119873046875,129.54119873046875,5,5,5,126.16598510742188,126.16598510742188,126.16598510742188
47787,6.0,6.0,6.0,149.92776489257812,149.92776489257812,149.92776489257812,6.0,6.0,6.0,126.15825653076172,126.15825653076172,126.15825653076172,6.0,6.0,6.0,135.37606811523438,135.37606811523438,135.37606811523438,6.0,6.0,6.0,137.15036010742188,137.15036010742188,137.15036010742188,6,6,6,122.00242614746094,122.00242614746094,122.00242614746094
54613,7.0,7.0,7.0,142.0121307373047,142.0121307373047,142.0121307373047,7.0,7.0,7.0,134.7847900390625,134.7847900390625,134.7847900390625,7.0,7.0,7.0,135.62258911132812,135.62258911132812,135.62258911132812,7.0,7.0,7.0,128.09506225585938,128.09506225585938,128.09506225585938,7,7,7,132.1107635498047,132.1107635498047,132.1107635498047
61440,8.0,8.0,8.0,138.53733825683594,138.53733825683594,138.53733825683594,8.0,8.0,8.0,142.98472595214844,142.98472595214844,142.98472595214844,8.0,8.0,8.0,144.2305450439453,144.2305450439453,144.2305450439453,8.0,8.0,8.0,124.588623046875,124.588623046875,124.588623046875,8,8,8,129.03445434570312,129.03445434570312,129.03445434570312
68267,9.0,9.0,9.0,122.83528900146484,122.83528900146484,122.83528900146484,9.0,9.0,9.0,116.1296844482422,116.1296844482422,116.1296844482422,9.0,9.0,9.0,141.36663818359375,141.36663818359375,141.36663818359375,9.0,9.0,9.0,121.1383285522461,121.1383285522461,121.1383285522461,9,9,9,121.34898376464844,121.34898376464844,121.34898376464844
75093,10.0,10.0,10.0,90.82454681396484,90.82454681396484,90.82454681396484,10.0,10.0,10.0,88.16497039794922,88.16497039794922,88.16497039794922,10.0,10.0,10.0,111.8264617919922,111.8264617919922,111.8264617919922,10.0,10.0,10.0,90.49609375,90.49609375,90.49609375,10,10,10,92.3354949951172,92.3354949951172,92.3354949951172
81920,11.0,11.0,11.0,66.22718811035156,66.22718811035156,66.22718811035156,11.0,11.0,11.0,75.06172943115234,75.06172943115234,75.06172943115234,11.0,11.0,11.0,75.54627990722656,75.54627990722656,75.54627990722656,11.0,11.0,11.0,69.81031799316406,69.81031799316406,69.81031799316406,11,11,11,63.17747497558594,63.17747497558594,63.17747497558594
88747,12.0,12.0,12.0,64.36785888671875,64.36785888671875,64.36785888671875,12.0,12.0,12.0,70.74549102783203,70.74549102783203,70.74549102783203,12.0,12.0,12.0,68.4483413696289,68.4483413696289,68.4483413696289,12.0,12.0,12.0,62.74707794189453,62.74707794189453,62.74707794189453,12,12,12,53.509910583496094,53.509910583496094,53.509910583496094
95573,13.0,13.0,13.0,62.45079803466797,62.45079803466797,62.45079803466797,13.0,13.0,13.0,63.296913146972656,63.296913146972656,63.296913146972656,13.0,13.0,13.0,62.28446578979492,62.28446578979492,62.28446578979492,13.0,13.0,13.0,59.35086441040039,59.35086441040039,59.35086441040039,13,13,13,50.63298797607422,50.63298797607422,50.63298797607422
102400,14.0,14.0,14.0,65.08281707763672,65.08281707763672,65.08281707763672,14.0,14.0,14.0,57.99782943725586,57.99782943725586,57.99782943725586,14.0,14.0,14.0,57.14096450805664,57.14096450805664,57.14096450805664,14.0,14.0,14.0,54.79255294799805,54.79255294799805,54.79255294799805,14,14,14,55.11572265625,55.11572265625,55.11572265625
109227,15.0,15.0,15.0,63.057010650634766,63.057010650634766,63.057010650634766,15.0,15.0,15.0,62.84928894042969,62.84928894042969,62.84928894042969,15.0,15.0,15.0,63.10555648803711,63.10555648803711,63.10555648803711,15.0,15.0,15.0,61.64518356323242,61.64518356323242,61.64518356323242,15,15,15,60.5919303894043,60.5919303894043,60.5919303894043
116053,16.0,16.0,16.0,67.67095947265625,67.67095947265625,67.67095947265625,16.0,16.0,16.0,65.7532958984375,65.7532958984375,65.7532958984375,16.0,16.0,16.0,66.53565216064453,66.53565216064453,66.53565216064453,16.0,16.0,16.0,69.49236297607422,69.49236297607422,69.49236297607422,16,16,16,66.50597381591797,66.50597381591797,66.50597381591797
122880,17.0,17.0,17.0,72.85225677490234,72.85225677490234,72.85225677490234,17.0,17.0,17.0,68.58666229248047,68.58666229248047,68.58666229248047,17.0,17.0,17.0,74.82721710205078,74.82721710205078,74.82721710205078,17.0,17.0,17.0,75.88430786132812,75.88430786132812,75.88430786132812,17,17,17,74.34013366699219,74.34013366699219,74.34013366699219
129707,18.0,18.0,18.0,77.89286041259766,77.89286041259766,77.89286041259766,18.0,18.0,18.0,71.09685516357422,71.09685516357422,71.09685516357422,18.0,18.0,18.0,82.00123596191406,82.00123596191406,82.00123596191406,18.0,18.0,18.0,79.63261413574219,79.63261413574219,79.63261413574219,18,18,18,77.56227111816406,77.56227111816406,77.56227111816406
136533,19.0,19.0,19.0,79.13153076171875,79.13153076171875,79.13153076171875,19.0,19.0,19.0,78.51842498779297,78.51842498779297,78.51842498779297,19.0,19.0,19.0,77.3550796508789,77.3550796508789,77.3550796508789,19.0,19.0,19.0,80.2432632446289,80.2432632446289,80.2432632446289,19,19,19,78.85029602050781,78.85029602050781,78.85029602050781
143360,20.0,20.0,20.0,82.47161865234375,82.47161865234375,82.47161865234375,20.0,20.0,20.0,78.41494750976562,78.41494750976562,78.41494750976562,20.0,20.0,20.0,80.26175689697266,80.26175689697266,80.26175689697266,20.0,20.0,20.0,82.17093658447266,82.17093658447266,82.17093658447266,20,20,20,78.66329193115234,78.66329193115234,78.66329193115234
150187,21.0,21.0,21.0,80.51699829101562,80.51699829101562,80.51699829101562,21.0,21.0,21.0,80.64404296875,80.64404296875,80.64404296875,21.0,21.0,21.0,80.87946319580078,80.87946319580078,80.87946319580078,21.0,21.0,21.0,82.08538055419922,82.08538055419922,82.08538055419922,21,21,21,78.4798583984375,78.4798583984375,78.4798583984375
157013,22.0,22.0,22.0,79.42889404296875,79.42889404296875,79.42889404296875,22.0,22.0,22.0,78.45033264160156,78.45033264160156,78.45033264160156,22.0,22.0,22.0,79.87071228027344,79.87071228027344,79.87071228027344,22.0,22.0,22.0,78.83562469482422,78.83562469482422,78.83562469482422,22,22,22,78.76165008544922,78.76165008544922,78.76165008544922
163840,23.0,23.0,23.0,77.99617767333984,77.99617767333984,77.99617767333984,23.0,23.0,23.0,81.85395050048828,81.85395050048828,81.85395050048828,23.0,23.0,23.0,82.44725036621094,82.44725036621094,82.44725036621094,23.0,23.0,23.0,81.36654663085938,81.36654663085938,81.36654663085938,23,23,23,80.47047424316406,80.47047424316406,80.47047424316406
170667,24.0,24.0,24.0,78.44544982910156,78.44544982910156,78.44544982910156,24.0,24.0,24.0,80.32363891601562,80.32363891601562,80.32363891601562,24.0,24.0,24.0,83.47570037841797,83.47570037841797,83.47570037841797,24.0,24.0,24.0,83.16676330566406,83.16676330566406,83.16676330566406,24,24,24,81.9571533203125,81.9571533203125,81.9571533203125
177493,25.0,25.0,25.0,78.29624938964844,78.29624938964844,78.29624938964844,25.0,25.0,25.0,80.35616302490234,80.35616302490234,80.35616302490234,25.0,25.0,25.0,83.83694458007812,83.83694458007812,83.83694458007812,25.0,25.0,25.0,85.91737365722656,85.91737365722656,85.91737365722656,25,25,25,85.00508880615234,85.00508880615234,85.00508880615234
184320,26.0,26.0,26.0,78.50682067871094,78.50682067871094,78.50682067871094,26.0,26.0,26.0,82.48542022705078,82.48542022705078,82.48542022705078,26.0,26.0,26.0,87.9464111328125,87.9464111328125,87.9464111328125,26.0,26.0,26.0,83.59710693359375,83.59710693359375,83.59710693359375,26,26,26,85.01297760009766,85.01297760009766,85.01297760009766
191147,27.0,27.0,27.0,80.43795013427734,80.43795013427734,80.43795013427734,27.0,27.0,27.0,85.07572174072266,85.07572174072266,85.07572174072266,27.0,27.0,27.0,85.13591003417969,85.13591003417969,85.13591003417969,27.0,27.0,27.0,86.51272583007812,86.51272583007812,86.51272583007812,27,27,27,86.5197525024414,86.5197525024414,86.5197525024414
197973,28.0,28.0,28.0,82.73747253417969,82.73747253417969,82.73747253417969,28.0,28.0,28.0,85.3018798828125,85.3018798828125,85.3018798828125,28.0,28.0,28.0,86.84051513671875,86.84051513671875,86.84051513671875,28.0,28.0,28.0,87.59563446044922,87.59563446044922,87.59563446044922,28,28,28,85.96519470214844,85.96519470214844,85.96519470214844
204800,29.0,29.0,29.0,85.12107849121094,85.12107849121094,85.12107849121094,29.0,29.0,29.0,86.83885192871094,86.83885192871094,86.83885192871094,29.0,29.0,29.0,88.13184356689453,88.13184356689453,88.13184356689453,29.0,29.0,29.0,90.0478286743164,90.0478286743164,90.0478286743164,29,29,29,87.1265640258789,87.1265640258789,87.1265640258789
