task,seed,episode_reward,episode_success
walker-stand,0,934.3903198242188,0.0
walker-stand,1,940.9515991210938,0.0
walker-stand,2,910.0633544921875,0.0
walker-stand,3,887.6371459960938,0.0
walker-stand,4,903.9320678710938,0.0
walker-stand,5,908.90234375,0.0
walker-stand,6,919.9517822265625,0.0
walker-stand,7,900.4368286132812,0.0
walker-stand,8,927.5009765625,0.0
walker-stand,9,927.6576538085938,0.0
walker-walk,0,899.361328125,0.0
walker-walk,1,905.4915771484375,0.0
walker-walk,2,882.4508666992188,0.0
walker-walk,3,877.224853515625,0.0
walker-walk,4,884.8851928710938,0.0
walker-walk,5,913.5665283203125,0.0
walker-walk,6,887.5068969726562,0.0
walker-walk,7,910.253173828125,0.0
walker-walk,8,919.0555419921875,0.0
walker-walk,9,926.5394287109375,0.0
walker-run,0,539.360595703125,0.0
walker-run,1,531.8101806640625,0.0
walker-run,2,534.0432739257812,0.0
walker-run,3,498.9580993652344,0.0
walker-run,4,469.6390380859375,0.0
walker-run,5,526.632080078125,0.0
walker-run,6,521.8340454101562,0.0
walker-run,7,564.8218383789062,0.0
walker-run,8,548.681640625,0.0
walker-run,9,537.5073852539062,0.0
cheetah-run,0,8.214253425598145,0.0
cheetah-run,1,8.255542755126953,0.0
cheetah-run,2,4.025909900665283,0.0
cheetah-run,3,6.845065593719482,0.0
cheetah-run,4,7.791019439697266,0.0
cheetah-run,5,5.599181652069092,0.0
cheetah-run,6,4.721302032470703,0.0
cheetah-run,7,6.396027088165283,0.0
cheetah-run,8,6.838255405426025,0.0
cheetah-run,9,131.06602478027344,0.0
reacher-easy,0,948.0,0.0
reacher-easy,1,979.0,0.0
reacher-easy,2,988.0,0.0
reacher-easy,3,971.0,0.0
reacher-easy,4,959.0,0.0
reacher-easy,5,965.0,0.0
reacher-easy,6,984.0,0.0
reacher-easy,7,984.0,0.0
reacher-easy,8,968.0,0.0
reacher-easy,9,996.0,0.0
reacher-hard,0,0.0,0.0
reacher-hard,1,974.0,0.0
reacher-hard,2,985.0,0.0
reacher-hard,3,973.0,0.0
reacher-hard,4,978.0,0.0
reacher-hard,5,965.0,0.0
reacher-hard,6,974.0,0.0
reacher-hard,7,980.0,0.0
reacher-hard,8,0.0,0.0
reacher-hard,9,993.0,0.0
acrobot-swingup,0,116.6744384765625,0.0
acrobot-swingup,1,0.09068953990936279,0.0
acrobot-swingup,2,43.994361877441406,0.0
acrobot-swingup,3,43.7330322265625,0.0
acrobot-swingup,4,123.13585662841797,0.0
acrobot-swingup,5,117.25334930419922,0.0
acrobot-swingup,6,17.03092384338379,0.0
acrobot-swingup,7,6.408319985773403e-10,0.0
acrobot-swingup,8,211.45541381835938,0.0
acrobot-swingup,9,55.469444274902344,0.0
pendulum-swingup,0,924.0,0.0
pendulum-swingup,1,0.0,0.0
pendulum-swingup,2,0.0,0.0
pendulum-swingup,3,883.0,0.0
pendulum-swingup,4,0.0,0.0
pendulum-swingup,5,0.0,0.0
pendulum-swingup,6,0.0,0.0
pendulum-swingup,7,928.0,0.0
pendulum-swingup,8,925.0,0.0
pendulum-swingup,9,904.0,0.0
cartpole-balance,0,975.0885620117188,0.0
cartpole-balance,1,976.0089721679688,0.0
cartpole-balance,2,975.171875,0.0
cartpole-balance,3,973.4469604492188,0.0
cartpole-balance,4,975.0645751953125,0.0
cartpole-balance,5,975.9260864257812,0.0
cartpole-balance,6,975.5634155273438,0.0
cartpole-balance,7,972.6768798828125,0.0
cartpole-balance,8,972.469970703125,0.0
cartpole-balance,9,974.4830322265625,0.0
cartpole-balance-sparse,0,1000.0,0.0
cartpole-balance-sparse,1,1000.0,0.0
cartpole-balance-sparse,2,1000.0,0.0
cartpole-balance-sparse,3,1000.0,0.0
cartpole-balance-sparse,4,1000.0,0.0
cartpole-balance-sparse,5,1000.0,0.0
cartpole-balance-sparse,6,1000.0,0.0
cartpole-balance-sparse,7,1000.0,0.0
cartpole-balance-sparse,8,1000.0,0.0
cartpole-balance-sparse,9,1000.0,0.0
cartpole-swingup,0,218.99417114257812,0.0
cartpole-swingup,1,531.0371704101562,0.0
cartpole-swingup,2,218.901611328125,0.0
cartpole-swingup,3,219.308837890625,0.0
cartpole-swingup,4,214.3020477294922,0.0
cartpole-swingup,5,218.0802001953125,0.0
cartpole-swingup,6,362.9973449707031,0.0
cartpole-swingup,7,224.39866638183594,0.0
cartpole-swingup,8,225.4923553466797,0.0
cartpole-swingup,9,207.00515747070312,0.0
cartpole-swingup-sparse,0,0.0,0.0
cartpole-swingup-sparse,1,486.0,0.0
cartpole-swingup-sparse,2,10.0,0.0
cartpole-swingup-sparse,3,0.0,0.0
cartpole-swingup-sparse,4,6.0,0.0
cartpole-swingup-sparse,5,0.0,0.0
cartpole-swingup-sparse,6,0.0,0.0
cartpole-swingup-sparse,7,5.0,0.0
cartpole-swingup-sparse,8,3.0,0.0
cartpole-swingup-sparse,9,0.0,0.0
cup-catch,0,0.0,0.0
cup-catch,1,0.0,0.0
cup-catch,2,0.0,0.0
cup-catch,3,994.0,0.0
cup-catch,4,0.0,0.0
cup-catch,5,0.0,0.0
cup-catch,6,0.0,0.0
cup-catch,7,0.0,0.0
cup-catch,8,0.0,0.0
cup-catch,9,990.0,0.0
finger-spin,0,861.0,0.0
finger-spin,1,942.0,0.0
finger-spin,2,893.0,0.0
finger-spin,3,799.0,0.0
finger-spin,4,879.0,0.0
finger-spin,5,918.0,0.0
finger-spin,6,864.0,0.0
finger-spin,7,756.0,0.0
finger-spin,8,905.0,0.0
finger-spin,9,847.0,0.0
