"Step","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/250000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/250000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/250000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/100000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/100000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/100000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/50000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/50000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/pendulum-swingup/12/default/models/50000.pt - pretrain/episode_reward__MAX"
"0","0","0","0","0","0","0","0","0","0"
"2500","1.2666666666666666","0","3.8","1.6333333333333335","0","4.9","40.53333333333333","0","121.6"
"5000","0.7000000000000001","0","2","30.700000000000003","0","90.7","0.5","0","1.4"
"7500","0.6333333333333333","0","1.9","5.699999999999999","0","15.2","18.033333333333335","0","30.3"
"10000","0.39999999999999997","0","1.2","38.1","0","100","26.100000000000005","0","43.6"
"12500","0.26666666666666666","0","0.8","0.26666666666666666","0","0.8","0.8666666666666667","0","2.6"
"15000","0.6666666666666666","0","2","2.566666666666667","0","5.7","0.8666666666666667","0","2.6"
"17500","0.3333333333333333","0","1","266.6666666666667","1.4","746.9","0.3666666666666667","0","1.1"
"20000","0.43333333333333335","0","1.3","270.8666666666667","1.1","809.1","209.96666666666667","0","627.5"
"22500","30.866666666666664","0","92.6","512.3666666666667","0","784","534.4","0","827.2"
"25000","197.6","0","592.8","765.0666666666666","710.9","821","720.7333333333332","597","790.8"
"27500","343.26666666666665","0","844.4","780.7666666666668","744.4","834.6","808.8333333333334","738.7","850"
"30000","520.6999999999999","0","801.4","767.1666666666666","745.4","779.2","818.3333333333334","763.3","865.7"
"32500","313.40000000000003","0","756.2","784.1666666666666","685.1","887.1","843.5666666666666","813.5","901.4"
"35000","486.8666666666666","0","747.1","746.5333333333333","684.4","794.6","795.1999999999999","771.5","820.2"
"37500","495.1666666666667","0","743.6","782.2333333333332","775.2","788.4","790.7666666666668","783.3","800.2"
"40000","592.9333333333334","200","826.6","821.2666666666668","783.5","843.3","834.3000000000001","801.1","858.2"
"42500","759.6666666666666","718.6","819.9","815.5333333333333","790.5","834.6","826.9333333333334","792.4","845.5"
